"chamber","id","pair_id","Ci","CO2R","c13","D","ci_bar","leaf","campaign","Month","temp","drydown"
"ch01","1-ch01-shade","ee",231.06168344,400.0750061,-29.78,21.9556451612903,285.511172560677,"shade","1","Oct","ambient","control"
"ch01","1-ch01-sun","ee",136.96160816,400.48496704,-26.74,18.8911290322581,235.913794018547,"sun","1","Oct","ambient","control"
"ch01","4-ch01-shade","q",209.434472022581,419.669349919355,-29.22,21.3911290322581,289.864068104212,"shade","4","Feb","ambient","control"
"ch01","3-ch01-sun","v",198.554262871429,420.079546271429,-29.47,21.6431451612903,294.450918522245,"sun","3","Jan","ambient","control"
"ch01","4-ch01-sun","q",209.941212325806,419.862921925806,-30.37,22.5504032258065,309.783794004824,"sun","4","Feb","ambient","control"
"ch01","3-ch01-shade","v",287.786260485714,419.563598614286,-30.82,23.0040322580645,317.299785484951,"shade","3","Jan","ambient","control"
"ch01","2-ch01-shade","y",210.4935638,400.1625122,-29.49,21.6633064516129,280.818214575442,"shade","2","Dec","ambient","control"
"ch01","2-ch01-sun","y",191.02508594,399.37802732,-28.72,20.8870967741935,267.666023817535,"sun","2","Dec","ambient","control"
"ch02","1-ch02-shade","ee",178.67563764,399.8835083,-32.06,24.2540322580645,322.735775335618,"shade","1","Oct","elevated","control"
"ch02","5-ch02-shade","d",295.554080654839,419.931428970968,-31.22,23.4072580645161,324.461180481797,"shade","5","Mar","elevated","control"
"ch02","3-ch02-shade","u",310.60095694,419.784552,-30.71,22.8931451612903,315.57466083753,"shade","3","Jan","elevated","control"
"ch02","6-ch02-shade","l",270.049245242105,420.011371826316,-30.49,22.6713709677419,311.958682329626,"shade","6","Apr","elevated","control"
"ch02","1-ch02-sun","ee",186.41125812,399.69911498,-28.31,20.4737903225806,261.165844158926,"sun","1","Oct","elevated","control"
"ch02","4-ch02-shade","n",295.155592322581,420.328211635484,-32.52,24.7177419354839,347.159354968017,"shade","4","Feb","elevated","control"
"ch02","4-ch02-sun","n",221.609941832258,420.106342929032,-29.17,21.3407258064516,289.305136793165,"sun","4","Feb","elevated","control"
"ch02","5-ch02-sun","d",214.962760393548,419.591592112903,-29.55,21.7237903225806,295.484421255354,"sun","5","Mar","elevated","control"
"ch02","3-ch02-sun","u",164.37115622,420.030542,-28.9,21.0685483870968,284.605667210792,"sun","3","Jan","elevated","control"
"ch02","6-ch02-sun","l",214.343872655263,419.981684639474,-29.54,21.7137096774194,295.587030800054,"sun","6","Apr","elevated","control"
"ch02","2-ch02-shade","bb",276.95732452,400.59016724,-32.18,24.375,325.275958968252,"shade","2","Dec","elevated","control"
"ch02","2-ch02-sun","bb",228.7481576,400.33346556,-29.55,21.7237903225806,281.922480344451,"sun","2","Dec","elevated","control"
"ch03","1-ch03-shade","ff",195.84602216,400.34577636,-29.16,21.3306451612903,275.533019567986,"shade","1","Oct","ambient","control"
"ch03","1-ch03-sun","ff",144.45827908,399.80980834,-26.52,18.6693548387097,231.911708260161,"sun","1","Oct","ambient","control"
"ch03","4-ch03-shade","m",259.714819645161,420.338477348387,-30.19,22.3689516129032,307.034217907097,"shade","4","Feb","ambient","control"
"ch03","2-ch03-shade","bb",298.74794504,400.4012085,-30.51,22.6915322580645,297.721610627877,"shade","2","Dec","ambient","control"
"ch03","3-ch03-shade","s",289.21537372,420.27991944,-28.55,20.7157258064516,278.746826322789,"shade","3","Jan","ambient","control"
"ch03","4-ch03-sun","m",252.570978974194,420.123299874194,-28.1,20.2620967741936,270.895790231626,"sun","4","Feb","ambient","control"
"ch03","3-ch03-sun","s",199.9615871,419.80333254,-27.47,19.6270161290323,259.851712016588,"sun","3","Jan","ambient","control"
"ch03","2-ch03-sun","bb",202.075454,400.20629882,-29.19,21.3608870967742,275.929018280646,"sun","2","Dec","ambient","control"
"ch04","1-ch04-shade","ff",200.65317186,400.0270996,-28.36,20.5241935483871,262.199771485785,"shade","1","Oct","elevated","control"
"ch04","1-ch04-sun","ff",152.33190454,400.28324586,-26.8,18.9516129032258,236.779140056971,"sun","1","Oct","elevated","control"
"ch04","3-ch04-shade","s",255.97297792,419.87951048,-30,22.1774193548387,303.429842939323,"shade","3","Jan","elevated","control"
"ch04","3-ch04-sun","s",207.8227124,419.89566652,-28,20.1612903225806,269.028353870538,"sun","3","Jan","elevated","control"
"ch04","4-ch04-shade","r",236.270986912903,419.856449248387,-32.42,24.616935483871,345.049217355357,"shade","4","Feb","elevated","control"
"ch04","2-ch04-shade","aa",267.39350314,400.56242674,-28.83,20.9979838709677,270.265394241716,"shade","2","Dec","elevated","control"
"ch04","2-ch04-sun","aa",172.0749538,400.60415648,-28.66,20.8266129032258,267.502821378872,"sun","2","Dec","elevated","control"
"ch04","4-ch04-sun","r",238.831462222581,419.622550722581,-29.62,21.7943548387097,296.709900227358,"sun","4","Feb","elevated","control"
"ch05","6-ch05-shade","i",237.125335766667,420.371474833333,-30.42,22.6008064516129,311.020319155308,"shade","6","Apr","ambient","control"
"ch05","1-ch05-shade","gg",135.12463092,400.28044432,-29.84,22.0161290322581,286.641949440273,"shade","1","Oct","ambient","control"
"ch05","4-ch05-shade","n",308.131472267742,420.056496890323,-29.7,21.875,298.393791998308,"shade","4","Feb","ambient","control"
"ch05","5-ch05-shade","e",302.095508474194,419.839774841935,-30.58,22.7620967741935,313.379616882246,"shade","5","Mar","ambient","control"
"ch05","5-ch05-sun","e",187.993931987097,419.3178071,-28.21,20.3729838709677,272.266527220238,"sun","5","Mar","ambient","control"
"ch05","1-ch05-sun","gg",176.86055926,399.73880616,-27.18,19.3346774193548,242.681712276326,"sun","1","Oct","ambient","control"
"ch05","6-ch05-sun","i",192.729224997368,419.516505192105,-29.82,21.9959677419355,300.073125714219,"sun","6","Apr","ambient","control"
"ch05","4-ch05-sun","n",207.182671232258,420.052681209677,-28.98,21.1491935483871,285.997709678855,"sun","4","Feb","ambient","control"
"ch05","3-ch05-shade","x",278.5376979,420.320282,-30.11,22.2883064516129,305.643008627819,"shade","3","Jan","ambient","control"
"ch05","3-ch05-sun","x",173.575064285714,420.044237414286,-28.04,20.2016129032258,269.812050481757,"sun","3","Jan","ambient","control"
"ch05","2-ch05-shade","aa",200.66145598,400.51839598,-31.13,23.3165322580645,307.984518597721,"shade","2","Dec","ambient","control"
"ch05","2-ch05-sun","aa",170.26261202,400.8286499,-28.1,20.2620967741936,258.454586771673,"sun","2","Dec","ambient","control"
"ch06","1-ch06-shade","hh",212.4851302,400.22218628,-29.34,21.5120967741935,278.400031821247,"shade","1","Oct","elevated","control"
"ch06","2-ch06-shade","dd",200.34402356,400.71749266,-30.06,22.2379032258065,290.567473778735,"shade","2","Dec","elevated","control"
"ch06","3-ch06-shade","w",273.3492003,419.569414414286,-28.95,21.1189516129032,285.152875522219,"shade","3","Jan","elevated","control"
"ch06","1-ch06-sun","hh",128.50888732,399.8034668,-26.45,18.5987903225806,230.761203062359,"sun","1","Oct","elevated","control"
"ch06","4-ch06-shade","q",183.33494763871,419.925922019355,-30.02,22.1975806451613,303.807539111105,"shade","4","Feb","elevated","control"
"ch06","3-ch06-sun","w",175.7844364,419.822623128571,-28.23,20.3931451612903,272.938380231257,"sun","3","Jan","elevated","control"
"ch06","4-ch06-sun","q",187.3158186,420.523335109677,-27.6,19.758064516129,262.537581754153,"sun","4","Feb","elevated","control"
"ch06","2-ch06-sun","dd",175.12835866,399.78996582,-28.73,20.8971774193548,268.105934821559,"sun","2","Dec","elevated","control"
"ch07","5-ch07-shade","d",252.406305112903,419.628355954839,-29.97,22.1471774193548,302.732474931817,"shade","5","Mar","ambient","control"
"ch07","1-ch07-shade","hh",251.01314342,400.03950194,-31.12,23.3064516129032,307.45233685685,"shade","1","Oct","ambient","control"
"ch07","3-ch07-sun","t",143.5085882,419.85897216,-28.4,20.5645161290323,275.886875097529,"sun","3","Jan","ambient","control"
"ch07","4-ch07-shade","p",229.401910170968,419.85634686129,-30,22.1774193548387,303.4131035343,"shade","4","Feb","ambient","control"
"ch07","2-ch07-shade","dd",261.715227,400.28532716,-32.21,24.4052419354839,325.520520856102,"shade","2","Dec","ambient","control"
"ch07","3-ch07-shade","t",301.004512528571,420.228990828571,-28.76,20.9274193548387,282.329299044084,"shade","3","Jan","ambient","control"
"ch07","6-ch07-shade","l",283.514173242105,420.392699394737,-29.66,21.8346774193548,297.943540788579,"shade","6","Apr","ambient","control"
"ch07","1-ch07-sun","hh",151.07553278,399.26885988,-27,19.1532258064516,239.451367776184,"sun","1","Oct","ambient","control"
"ch07","6-ch07-sun","l",128.970133521053,419.642412684211,-27.48,19.6370967741935,259.924067179894,"sun","6","Apr","ambient","control"
"ch07","4-ch07-sun","p",188.875235909677,420.065844145161,-28.32,20.4838709677419,274.645725007576,"sun","4","Feb","ambient","control"
"ch07","5-ch07-sun","d",202.871105625806,420.111334035484,-27.18,19.3346774193548,255.049888375398,"sun","5","Mar","ambient","control"
"ch07","2-ch07-sun","dd",214.71855788,400.26936036,-29.39,21.5625,279.252963299939,"sun","2","Dec","ambient","control"
"ch08","1-ch08-shade","gg",175.6712385,400.36248168,-30.18,22.3588709677419,292.278786537238,"shade","1","Oct","elevated","control"
"ch08","1-ch08-sun","gg",141.35143606,399.4829773,-26.92,19.0725806451613,238.270170764365,"sun","1","Oct","elevated","control"
"ch08","4-ch08-sun","m",177.362245948387,420.803790677419,-27.61,19.7681451612903,262.885111363895,"sun","4","Feb","elevated","control"
