"Month","chamber","leaf","drydown","light","Trmmol","Cond","leaflight","mid","pre","temp","pre_mp","mid_mp","wpdiff","leafK"
"Apr","ch02","shade","control","low",2.57003577876316,0.151571637131579,"shade-low",12.8,3.9,"elevated",-0.39,-1.28,0.89,2.88768065029568
"Apr","ch02","sun","control","high",1.44375492865789,0.0769075355263158,"sun-high",17.6,6.1,"elevated",-0.61,-1.76,1.15,1.25543906839817
"Apr","ch05","shade","control","low",1.01881476689744,0.103052354410256,"shade-low",16,2.4,"ambient",-0.24,-1.6,1.36,0.749128505071644
"Apr","ch05","sun","control","high",1.08746577028947,0.0882534803947368,"sun-high",15.9,2.6,"ambient",-0.26,-1.59,1.33,0.817643436307875
"Apr","ch07","shade","control","low",2.53869586992105,0.194582145973684,"shade-low",17.3,1.6,"ambient",-0.16,-1.73,1.57,1.61700373880322
"Apr","ch07","sun","control","high",0.937843093368421,0.0593261510526316,"sun-high",21.6,3.2,"ambient",-0.32,-2.16,1.84,0.509697333352403
"Apr","ch09","shade","control","low",1.46515498186842,0.173992096421053,"shade-low",14.2,7.4,"ambient",-0.74,-1.42,0.68,2.15463967921827
"Apr","ch09","sun","control","high",1.87866308807895,0.221503743447368,"sun-high",19.9,11.8,"ambient",-1.18,-1.99,0.81,2.31933714577648
"Apr","ch10","shade","control","low",1.70059481297436,0.178540757384615,"shade-low",10.9,3.1,"elevated",-0.31,-1.09,0.78,2.18024976022354
"Apr","ch10","sun","control","high",2.58519699302632,0.216322929342105,"sun-high",21.2,2.9,"elevated",-0.29,-2.12,1.83,1.4126759524734
"Apr","ch12","shade","control","low",1.22834404928947,0.1043605075,"shade-low",15.8,3.7,"elevated",-0.37,-1.58,1.21,1.01516037131361
"Apr","ch12","sun","control","high",1.5700403045,0.104252973578947,"sun-high",17.5,3.1,"elevated",-0.31,-1.75,1.44,1.09030576701389
"Dec","ch01","shade","control","low",1.2330021706,0.1238212936,"shade-low",11.1,1.4,"ambient",-0.14,-1.11,0.97,1.27113625835052
"Dec","ch01","sun","control","high",1.9837000182,0.1781100612,"sun-high",11.4,1.4,"ambient",-0.14,-1.14,1,1.9837000182
"Dec","ch02","shade","control","low",2.4224118206,0.1640606368,"shade-low",15.2,2.2,"elevated",-0.22,-1.52,1.3,1.86339370815385
"Dec","ch02","sun","control","high",4.1179002066,0.2262542906,"sun-high",19,2.1,"elevated",-0.21,-1.9,1.69,2.43662734118343
"Dec","ch03","shade","control","low",2.2934098256,0.2246767418,"shade-low",18.6,1.8,"ambient",-0.18,-1.86,1.68,1.36512489619048
"Dec","ch03","sun","control","high",3.1129984858,0.205571929,"sun-high",12.2,1.9,"ambient",-0.19,-1.22,1.03,3.02232862699029
"Dec","ch04","shade","control","low",3.9136125556,0.1398978184,"shade-low",19.1,3.4,"elevated",-0.34,-1.91,1.57,2.49274685070064
"Dec","ch04","sun","control","high",3.186790697,0.092820773,"sun-high",13.1,2.8,"elevated",-0.28,-1.31,1.03,3.09397155048544
"Dec","ch05","shade","control","low",2.345589431,0.0859129492,"shade-low",13.4,1.7,"ambient",-0.17,-1.34,1.17,2.00477729145299
"Dec","ch05","sun","control","high",3.3960507956,0.1326438088,"sun-high",35,2.1,"ambient",-0.21,-3.5,3.29,1.0322342843769
"Dec","ch06","shade","control","low",2.4931406418,0.0927311208,"shade-low",21.7,4.5,"elevated",-0.45,-2.17,1.72,1.44950037313954
"Dec","ch06","sun","control","high",3.0406457562,0.116385869,"sun-high",17.4,3.3,"elevated",-0.33,-1.74,1.41,2.15648635191489
"Dec","ch07","shade","control","low",4.1180019902,0.2135307924,"shade-low",16.3,1.9,"ambient",-0.19,-1.63,1.44,2.85972360430556
"Dec","ch07","sun","control","high",4.464651769,0.2099931604,"sun-high",12.3,3.4,"ambient",-0.34,-1.23,0.89,5.01646266179775
"Dec","ch08","shade","control","low",4.4881985908,0.2103192472,"shade-low",18.9,1.4,"elevated",-0.14,-1.89,1.75,2.56468490902857
"Dec","ch08","sun","control","high",3.3034238908,0.1166411134,"sun-high",10.9,2.4,"elevated",-0.24,-1.09,0.85,3.886381048
"Dec","ch09","shade","control","low",2.6206561606,0.1433827784,"shade-low",13.7,2.1,"ambient",-0.21,-1.37,1.16,2.25918634534483
"Dec","ch09","sun","control","high",2.96471149,0.1346162422,"sun-high",13.8,2.4,"ambient",-0.24,-1.38,1.14,2.60062411403509
"Dec","ch10","shade","control","low",2.742979441,0.2105169388,"shade-low",14.1,2.1,"elevated",-0.21,-1.41,1.2,2.28581620083333
