"chamber","Month","leaf","leaf_area","leaf_mass","c13","n_perc","temp","drydown","leafN","lma","leafN_area","campaign"
"ch01","Apr","shade",51.22,0.51,-30.65,1.62,"ambient","drought",0.008262,99.5704802811402,1.61304178055447,6
"ch01","Apr","sun",61.21,0.8,-29.08,1.75,"ambient","drought",0.014,130.697598431629,2.2872079725535,6
"ch01","Oct","sun",48.43,0.47,-26.74,2.47,"ambient","control",0.011609,97.0472847408631,2.39706793309932,1
"ch01","Mar","shade",59.16,0.52,-30.33,2.25,"ambient","drought",0.0117,87.8972278566599,1.97768762677485,5
"ch01","Mar","sun",31.99,0.28,-29.14,2.63,"ambient","drought",0.007364,87.527352297593,2.3019693654267,5
"ch01","Feb","sun",48.88,0.43,-30.37,1.98,"ambient","control",0.008514,87.9705400981997,1.74181669394435,4
"ch01","Jan","shade",58.56,0.58,-30.82,1.87,"ambient","control",0.010846,99.0437158469945,1.8521174863388,3
"ch01","Jan","sun",49.32,0.36,-29.47,3.75,"ambient","control",0.0135,72.992700729927,2.73722627737226,3
"ch01","Feb","shade",80.1,0.59,-29.22,2.82,"ambient","control",0.016638,73.6579275905119,2.07715355805243,4
"ch01","Oct","shade",34.49,0.36,-29.78,2.01,"ambient","control",0.007236,104.378080603073,2.09799942012177,1
"ch01","Dec","shade",48.08,0.49,-29.49,2.12,"ambient","control",0.010388,101.913477537438,2.16056572379368,2
"ch01","Dec","sun",48.98,0.52,-28.72,2.17,"ambient","control",0.011284,106.165781951817,2.30379746835443,2
"ch02","Mar","shade",32.74,0.24,-31.22,1.73,"elevated","control",0.004152,73.3048259010385,1.26817348808797,5
"ch02","Dec","shade",39.44,0.4,-32.18,1.61,"elevated","control",0.00644,101.419878296146,1.63286004056795,2
"ch02","Feb","shade",37.33,0.33,-32.52,1.9,"elevated","control",0.00627,88.4007500669703,1.67961425127244,4
"ch02","Apr","shade",47.55,0.54,-30.49,2.03,"elevated","control",0.010962,113.564668769716,2.30536277602524,6
"ch02","Apr","sun",37.63,0.44,-29.54,1.77,"elevated","control",0.007788,116.927982992293,2.06962529896359,6
"ch02","Oct","sun",36.29,0.29,-28.31,2.77,"elevated","control",0.008033,79.9118214384128,2.21355745384403,1
