"Month","chamber","leaf","Trmmol","mid","pre","temp","drydown","leafK"
"Apr","ch01","shade",0.579140967394737,9.1,4.2,"ambient","drought",0.118192034162191
"Apr","ch01","sun",0.747355339051282,15.9,7.6,"ambient","drought",0.0900428119338894
"Apr","ch02","shade",2.57003577876316,12.8,3.9,"elevated","control",0.288768065029568
"Apr","ch02","sun",1.44375492865789,17.6,6.1,"elevated","control",0.125543906839817
"Apr","ch03","shade",0.681163410236842,12.6,5.1,"ambient","drought",0.0908217880315789
"Apr","ch03","sun",2.18645057444737,24.2,5.8,"ambient","drought",0.118828835567792
"Apr","ch04","shade",0.693640346421053,15.6,3.2,"elevated","drought",0.055938737614601
"Apr","ch04","sun",0.655030507526316,19.6,4.6,"elevated","drought",0.0436687005017544
"Apr","ch05","shade",1.01881476689744,16,2.4,"ambient","control",0.0749128505071644
"Apr","ch05","sun",1.08746577028947,15.9,2.6,"ambient","control",0.0817643436307875
"Apr","ch06","shade",0.368315609105263,16.1,6.4,"elevated","drought",0.0379706813510581
"Apr","ch06","sun",0.596726545102564,24.9,6.5,"elevated","drought",0.0324307904947046
"Apr","ch07","shade",2.53869586992105,17.3,1.6,"ambient","control",0.161700373880322
"Apr","ch07","sun",0.937843093368421,21.6,3.2,"ambient","control",0.0509697333352403
"Apr","ch08","shade",0.911336221342105,15.1,2.4,"elevated","drought",0.0717587575859925
"Apr","ch08","sun",1.46282493446154,21.8,4.4,"elevated","drought",0.0840703985322723
"Apr","ch09","shade",1.46515498186842,14.2,7.4,"ambient","control",0.215463967921827
"Apr","ch09","sun",1.87866308807895,19.9,11.8,"ambient","control",0.231933714577648
"Apr","ch10","shade",1.70059481297436,10.9,3.1,"elevated","control",0.218024976022354
"Apr","ch10","sun",2.58519699302632,21.2,2.9,"elevated","control",0.14126759524734
"Apr","ch11","shade",0.649270083,12.1,2.3,"ambient","drought",0.0662520492857143
"Apr","ch11","sun",0.525940666684211,12.1,4,"ambient","drought",0.0649309465042235
"Apr","ch12","shade",1.22834404928947,15.8,3.7,"elevated","control",0.101516037131361
"Apr","ch12","sun",1.5700403045,17.5,3.1,"elevated","control",0.109030576701389
"Dec","ch01","shade",1.2330021706,11.1,1.4,"ambient","control",0.127113625835052
"Dec","ch01","sun",1.9837000182,11.4,1.4,"ambient","control",0.19837000182
"Dec","ch02","shade",2.4224118206,15.2,2.2,"elevated","control",0.186339370815385
"Dec","ch02","sun",3.4420560545,19,2.1,"elevated","control",0.203671955887574
"Dec","ch03","shade",2.2934098256,18.6,1.8,"ambient","control",0.136512489619048
"Dec","ch03","sun",3.1129984858,12.2,1.9,"ambient","control",0.302232862699029
"Dec","ch04","shade",3.9136125556,19.1,3.4,"elevated","control",0.249274685070064
"Dec","ch04","sun",3.186790697,13.1,2.8,"elevated","control",0.309397155048544
"Dec","ch05","shade",2.345589431,13.4,1.7,"ambient","control",0.200477729145299
"Dec","ch05","sun",3.3960507956,35,2.1,"ambient","control",0.10322342843769
"Dec","ch06","shade",2.4931406418,21.7,4.5,"elevated","control",0.144950037313954
"Dec","ch06","sun",3.0406457562,17.4,3.3,"elevated","control",0.215648635191489
"Dec","ch07","shade",4.1180019902,16.3,1.9,"ambient","control",0.285972360430556
"Dec","ch07","sun",4.464651769,12.3,3.4,"ambient","control",0.501646266179775
"Dec","ch08","shade",4.4881985908,18.9,1.4,"elevated","control",0.256468490902857
"Dec","ch08","sun",3.3034238908,10.9,2.4,"elevated","control",0.3886381048
"Dec","ch09","shade",2.6206561606,13.7,2.1,"ambient","control",0.225918634534483
"Dec","ch09","sun",2.96471149,13.8,2.4,"ambient","control",0.260062411403509
"Dec","ch10","shade",2.742979441,14.1,2.1,"elevated","control",0.228581620083333
"Dec","ch10","sun",2.5948713484,12.4,2.1,"elevated","control",0.251929257126214
"Dec","ch11","shade",3.6026154384,15.2,1.8,"ambient","control",0.26885189838806
"Dec","ch11","sun",1.5168191494,6.8,2,"ambient","control",0.316003989458333
"Dec","ch12","shade",4.038526808,17.9,2.2,"elevated","control",0.257231006878981
"Dec","ch12","sun",2.2886056332,22.7,2.1,"elevated","control",0.111097360834951
"Feb","ch01","shade",0.764984104129032,11.5,3.8,"ambient","control",0.0993485849518224
"Feb","ch01","sun",1.81736021335484,20.8,4.5,"ambient","control",0.111494491616861
"Feb","ch02","shade",3.80230299090323,14.9,3.7,"elevated","control",0.339491338473502
"Feb","ch02","sun",3.87746287003226,16.9,2.4,"elevated","control",0.267411232416018
"Feb","ch03","shade",1.25808579622581,8.9,2.9,"ambient","control",0.209680966037634
"Feb","ch03","sun",2.22512026151613,13.1,4.6,"ambient","control",0.261778854296015
"Feb","ch04","shade",1.53895435587097,14.7,5.3,"elevated","control",0.163718548496911
"Feb","ch04","sun",4.76266491467742,28.2,5.3,"elevated","control",0.207976633828708
"Feb","ch05","shade",2.92440855509677,21.2,2.2,"ambient","control",0.153916239741935
"Feb","ch05","sun",2.86894162309677,19.2,2.5,"ambient","control",0.171792911562681
"Feb","ch06","shade",0.968071789096774,14.7,6.1,"elevated","control",0.112566487104276
"Feb","ch06","sun",1.43458061112903,21.7,6.6,"elevated","control",0.0950053384853664
"Feb","ch07","shade",1.10596434441935,9.2,1.9,"ambient","control",0.151501964988953
"Feb","ch07","sun",0.930410668258065,14.6,2.4,"ambient","control",0.0762631695293496
"Feb","ch08","shade",0.801941347064516,8.9,3.6,"elevated","control",0.15130968812538
"Feb","ch08","sun",1.26970362358065,10.1,4.6,"elevated","control",0.23085520428739
"Feb","ch09","shade",1.96854676474194,16.9,2.4,"ambient","control",0.135761845844271
"Feb","ch09","sun",1.27261990551613,12.6,2.2,"ambient","control",0.12236729860732
"Feb","ch10","shade",1.97976654567742,20.9,1.5,"elevated","control",0.102049821942135
"Feb","ch10","sun",1.79831153125806,14.2,1.7,"elevated","control",0.143864922500645
"Feb","ch11","shade",1.07901212496774,14.9,3.2,"ambient","control",0.0922232585442515
"Feb","ch11","sun",1.10312896425806,18.1,3.1,"ambient","control",0.0735419309505376
"Feb","ch12","shade",1.83966889009677,12.7,1.6,"elevated","control",0.165735936044754
"Feb","ch12","sun",1.46541151893548,13.4,2.2,"elevated","control",0.130840314190668
"Jan","ch01","shade",2.20982413414286,17.8,2.2,"ambient","control",0.141655393214286
"Jan","ch01","sun",2.62000867614286,17.8,2.3,"ambient","control",0.169032817815668
"Jan","ch02","shade",3.6870316122,22.4,3.4,"elevated","control",0.194054295378947
"Jan","ch02","sun",1.658803821,25.8,3.6,"elevated","control",0.0747208928378378
"Jan","ch03","shade",2.7905263232,11.3,2.9,"ambient","control",0.332205514666667
"Jan","ch03","sun",2.4582640556,16.1,3,"ambient","control",0.18765374470229
"Jan","ch04","shade",1.8779441526,13.7,3.9,"elevated","control",0.191626954346939
