"chamber","leaf","Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","temp"
"ch02","shade",23,"10:21:47",7124.5,0,11.82109636,0.124556746,239.1803643,1.781221111,1.475026421,25.40613747,6,1.420000017,1,2.840000033,22.0852375,25.40613747,20.41889,419.4219971,404.3702393,15.49023342,17.59039497,58.84716034,66.82563782,499.9297485,1800.150391,56.98186111,101.331543,0.195217133,0.691578627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833216248,0.001781221,298.5561375,295.2352375,288.0240561,2.03680819,3.257488285,32.14683394,14.55643897,23.74568748,2.949526046,0.119323456,1.782461864,1.167064182,0.075030321,24.23651536,0.591488544,55.51512499,398.7510562,0.016457628,"elevated"
"ch02","shade",24,"10:24:16",7273,0,-0.485383414,0.131122014,54.15871481,1.761168636,1.388721971,25.11734772,6,1.420000017,1,2.840000033,21.28900337,25.11734772,19.53801537,48.67710114,49.15576172,15.81742382,17.89338493,63.0911026,71.37150574,499.9097595,1799.388916,62.15320969,101.33741,4.056358337,0.710339308,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833182933,0.001761169,298.2673477,294.4390034,287.9022201,1.981647097,3.201991256,31.59732676,13.70394182,23.20317554,2.854584027,0.125335317,1.813269285,1.041314742,0.0788347,5.488303886,1.101777552,57.49157726,49.38648975,-0.005650423,"elevated"
"ch02","shade",25,"10:26:45",7422.5,0,1.54882381,0.150369314,79.80924499,1.908066676,1.320358228,24.99863052,6,1.420000017,1,2.840000033,21.20675278,24.99863052,19.56072807,101.0186157,98.93334198,16.09681511,18.34466362,64.53229523,73.54395294,499.9617615,1798.776611,64.50393677,101.3406296,3.917419434,0.717489958,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833269602,0.001908067,298.1486305,294.3567528,287.8042514,1.909417246,3.179417988,31.37357644,13.02891282,23.10269165,2.837295449,0.142808064,1.859059761,0.978235688,0.089904909,8.087919134,0.80669715,59.55449164,98.19710532,0.009393293,"elevated"
"ch02","shade",26,"10:29:14",7571,0,3.702739637,0.174694406,106.4307289,2.110855944,1.267200584,24.97768974,6,1.420000017,1,2.840000033,21.19155502,24.97768974,19.5591507,149.4957581,144.6850128,16.34468651,18.83051491,65.58557129,75.56034088,499.8995361,1800.075928,68.48420715,101.3381805,3.771560669,0.729788542,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833165894,0.002110856,298.1276897,294.341555,288.012142,1.80683723,3.175450703,31.33518567,12.50467077,23.08462238,2.834196309,0.164571279,1.908250119,0.925946189,0.103721043,10.78549642,0.735602996,61.43908555,142.9249077,0.015916955,"elevated"
"ch02","shade",27,"10:31:43",7720.5,0,6.990652146,0.203630162,159.0182203,2.315029616,1.203587976,24.88431931,6,1.420000017,1,2.840000033,21.198452,24.88431931,19.56245804,229.9909973,220.9870453,16.5588665,19.28371239,66.41857147,77.34809113,499.9300537,1799.441772,75.6362381,101.3407593,3.208480835,0.727055311,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833216756,0.00231503,298.0343193,294.348452,287.9106772,1.712700641,3.157814031,31.16035496,11.87664258,23.04138565,2.826792603,0.190006548,1.954226055,0.872566548,0.11990729,16.11502719,0.719581639,63.51519347,217.6640241,0.02039899,"elevated"
"ch02","shade",28,"10:34:13",7870.5,0,10.71734051,0.21556615,226.6143104,2.424606071,1.194981867,25.01679802,6,1.420000017,1,2.840000033,21.23030472,25.01679802,19.56098747,330.3205566,316.5367432,16.76441574,19.61728668,67.1067276,78.52655792,499.9262695,1799.984375,91.19935608,101.3331528,2.154678345,0.723873854,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833210449,0.002424606,298.166798,294.3803047,287.9974936,1.642404681,3.182863376,31.40989191,11.79260523,23.12355137,2.840876878,0.200358243,1.987881508,0.852995369,0.126506855,22.96354253,0.715917868,64.19083606,311.4422328,0.022089331,"elevated"
"ch02","shade",29,"10:36:42",8019,0,13.06537529,0.207158713,289.437725,2.307948669,1.180412202,24.93714905,6,1.420000017,1,2.840000033,21.09626198,24.93714905,19.36297607,420.0080261,403.2104187,16.89784241,19.61345673,68.19538116,79.15490723,499.927063,1801.000488,95.8164444,101.3268738,0.763198853,0.737749815,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833211772,0.002307949,298.087149,294.246262,288.1600717,1.698791054,3.167782456,31.26300396,11.64954724,23.01670551,2.822574053,0.193075189,1.987370254,0.835203799,0.121862927,29.32781983,0.717832952,64.36373044,396.999765,0.021182287,"elevated"
"ch02","shade",30,"10:39:17",8174.5,0,15.39054171,0.183711332,477.5911837,2.102869442,1.203567074,24.95619583,6,1.420000017,1,2.840000033,20.9150486,24.95619583,19.1670208,649.8199463,629.7585449,16.94547081,19.42035103,69.15384674,79.25374603,499.9104919,1801.219238,110.8998032,101.3275223,-3.753829956,0.750048399,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833184153,0.002102869,298.1061958,294.0650486,288.1950717,1.780189076,3.171383126,31.29833884,11.87798781,22.93562222,2.808753314,0.1725496,1.967816051,0.840937262,0.108793683,48.39313131,0.758371899,63.42746392,622.4426185,0.015683101,"elevated"
"ch02","shade",31,"10:41:46",8323.5,0,16.52691834,0.155288651,782.934056,1.845910984,1.238222296,25.01777649,6,1.420000017,1,2.840000033,20.9461689,25.01777649,19.17047691,1000.731873,978.7268677,17.01997566,19.19302177,69.32672882,78.17810822,499.8924866,1799.201782,85.29702759,101.3298874,-12.95170593,0.754215956,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833154144,0.001845911,298.1677765,294.0961689,287.8722787,1.906171875,3.183049031,31.41273629,12.21971452,22.98197269,2.816646538,0.14723782,1.944826735,0.871819803,0.092714604,79.33461973,0.799951531,62.158768,970.8707622,0.01058115,"elevated"
"ch02","shade",32,"10:44:23",8480,0,17.6664052,0.126669844,923.2861979,1.567451147,1.276408239,25.11444092,6,1.420000017,1,2.840000033,20.98676682,25.11444092,19.16925049,1199.956909,1176.53833,17.15591431,19.00157928,69.69182587,77.18939209,499.874176,1800.195923,147.111084,101.308876,-18.97502136,0.762451887,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833123627,0.001567451,298.2644409,294.1367668,288.0313412,2.045452111,3.20143688,31.6007541,12.59917481,23.05060387,2.828369677,0.121261339,1.92502864,0.903341037,0.076256382,93.53708697,0.784748082,60.84174481,1168.140567,0.009201418,"elevated"
