"chamber","month","year","leaf","type","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","xsi","Delta","Ci.Ca","gm","gm.bar.1.","id","temp","ID","drydown","Cc"
"ch01","Oct",2013,"shade","high",17.78786017,0.222504378,219.8805808,2.772372033,1.340097347,21.76467133,"11.40663893",14.19504479,0.60645541,0.400484019,0.393849173,"ee","ambient","shade-high","control",175.46467572989
"ch01","Oct",2013,"shade","high",18.24901064,0.225349121,217.5609763,2.722963552,1.301184465,21.46208,"11.25047164",11.86389248,0.601136535,0.243564131,0.239527819,"ee","ambient","shade-high","control",142.636107169742
"ch01","Oct",2013,"shade","high",18.26995368,0.229109846,219.5651049,2.711913009,1.276298643,21.29592896,"11.17285147",12.13055346,0.606778923,0.249525368,0.245403653,"ee","ambient","shade-high","control",146.346282194967
"ch01","Oct",2013,"shade","high",18.22420115,0.230695891,220.9908959,2.663423714,1.245811138,21.03989029,"11.15949757",12.99657963,0.610581315,0.290160305,0.285366731,"ee","ambient","shade-high","control",158.183541358516
"ch01","Oct",2013,"shade","high",18.16972783,0.233694151,223.1902964,2.655113283,1.227274367,20.91140938,"11.20398949",11.30447686,0.616463538,0.206462695,0.2030585,"ee","ambient","shade-high","control",135.185401229955
"ch01","Oct",2013,"shade","low",12.02916206,0.145470518,230.1676962,1.769360919,1.276510208,21.17014694,"16.6949866",12.44303559,0.614735194,0.167152102,0.164325415,"ee","ambient","shade-low","control",158.20233102619
"ch01","Oct",2013,"shade","low",12.11696019,0.147129912,230.7809943,1.721432493,1.228999471,20.77384186,"16.73824267",13.51099316,0.616550592,0.210590495,0.2070396,"ee","ambient","shade-low","control",173.242973934931
"ch01","Oct",2013,"shade","low",12.06115409,0.145802631,230.4176475,1.735412324,1.249642341,20.90505219,"16.75567753",13.9217609,0.615093138,0.236567483,0.232567724,"ee","ambient","shade-low","control",179.433657912555
"ch01","Oct",2013,"shade","low",12.0720462,0.147213346,231.5205695,1.772866214,1.264784794,21.04329491,"16.85424251",13.88495054,0.617966171,0.230601325,0.226705788,"ee","ambient","shade-low","control",179.170279665369
"ch01","Oct",2013,"shade","low",12.08913551,0.148460218,232.4215097,1.801120217,1.274513219,21.14444923,"16.8239256",15.3731143,0.620290792,0.384594737,0.378106928,"ee","ambient","shade-low","control",200.988069907505
