flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
6,day_2,20/04/2014,7:17:40 AM,1,3,150.5,754.7759,8.311418,20.00133,400.0011,445.4352,129.9769,203.2282,100,1485.015,14.8557,-105.1873
6,day_2,20/04/2014,7:18:00 AM,2,4,150.5,311.845,3.44253,19.99943,399.9974,445.741,143.145,203.5245,100,311.3785,3.442369,-11.13118
6,day_2,20/04/2014,7:18:20 AM,3,17,150.5,478.504,5.411929,19.99688,399.9962,427.9982,93.74048,203.3969,100,492.2407,5.441627,-11.1709
6,day_2,20/04/2014,7:18:40 AM,4,18,150.5,493.0166,5.571542,20.00036,399.9977,426.722,86.18877,203.4453,100,507.0112,5.600813,-11.8943
6,day_2,20/04/2014,7:19:00 AM,5,5,150.5,475.9901,5.383574,19.99865,400.001,426.1472,84.1129,203.3823,100,489.6867,5.413384,-11.17274
6,day_2,20/04/2014,7:19:20 AM,6,6,150.5,489.3779,5.532472,19.99947,400.0002,426.6078,64.36005,203.3873,100,503.3019,5.561833,-11.53955
6,day_2,20/04/2014,7:19:40 AM,7,9,150.5,483.1141,5.463575,19.99817,399.9992,425.776,79.03029,203.389,100,496.9353,5.493136,-11.24093
6,day_2,20/04/2014,7:20:00 AM,8,10,150.5,489.0176,5.528829,19.99644,400.2906,426.4495,61.79016,203.571,100,502.9364,5.558153,-11.47578
6,day_2,20/04/2014,7:20:20 AM,9,11,150.5,477.1099,5.396855,20.00154,400.0015,424.7047,101.344,203.3275,100,490.8091,5.426514,-11.04109
6,day_2,20/04/2014,7:20:40 AM,10,12,150.5,480.7264,5.43765,19.99966,399.9996,424.7773,99.75667,203.3523,100,494.5005,5.467266,-11.05217
6,day_2,20/04/2014,7:21:00 AM,11,13,150.5,479.2982,5.420891,20.00394,400.0022,425.7475,75.85374,203.3279,100,493.0547,5.450627,-11.17089
6,day_2,20/04/2014,7:21:20 AM,12,14,150.5,495.3815,5.59797,19.99715,400.0009,425.0062,93.37471,203.3721,100,509.4168,5.627152,-11.93541
6,day_2,20/04/2014,7:21:40 AM,13,15,150.5,477.5301,5.401159,19.99974,399.9982,425.4505,83.58779,203.2963,100,491.2564,5.430991,-11.12657
6,day_2,20/04/2014,7:22:00 AM,14,16,150.5,488.409,5.522834,19.9974,400.0007,425.0707,92.55977,203.4925,100,502.3211,5.552213,-11.32284
6,day_2,20/04/2014,7:22:20 AM,15,17,150.5,479.6805,5.425606,19.99866,400.0021,424.9752,93.79883,203.2916,100,493.4269,5.455143,-11.09787
6,day_2,20/04/2014,7:22:40 AM,16,18,150.5,493.8136,5.580601,19.99889,400.0027,425.2841,86.23085,203.3414,100,507.8254,5.609941,-11.87078
6,day_2,20/04/2014,7:23:00 AM,17,5,150.5,476.9321,5.394477,20.00116,400.0032,425.3696,84.15464,203.2875,100,490.6339,5.424126,-11.12335
6,day_2,20/04/2014,7:23:20 AM,18,6,150.5,490.1596,5.541077,19.999,400.001,426.2459,64.40985,203.267,100,504.1024,5.570413,-11.58682
6,day_2,20/04/2014,7:23:40 AM,19,9,150.5,476.0171,5.384104,19.99677,399.9997,425.6065,79.05598,203.2665,100,489.7091,5.413863,-11.13047
6,day_2,20/04/2014,7:24:00 AM,20,10,150.5,489.7419,5.537127,19.9951,400.0046,426.3477,62.05919,203.2548,100,503.6729,5.566404,-11.45564
6,day_2,20/04/2014,7:24:20 AM,21,11,150.5,476.3813,5.388831,19.99644,399.9992,424.6746,101.3879,203.2257,100,490.065,5.418433,-11.01443
6,day_2,20/04/2014,7:24:40 AM,22,12,150.5,479.8481,5.427776,19.99962,400.002,424.7236,99.76099,203.294,100,493.6011,5.457386,-11.04061
6,day_2,20/04/2014,7:25:00 AM,23,13,150.5,478.158,5.407961,19.99507,399.9986,425.7134,75.84921,203.2487,100,491.8864,5.437664,-11.17972
6,day_2,20/04/2014,7:25:20 AM,24,14,150.5,494.7137,5.590212,20.00146,399.9993,424.997,93.43314,203.2545,100,508.7305,5.619361,-11.97233
6,day_2,20/04/2014,7:25:40 AM,25,15,150.5,473.8685,5.360267,20.00046,399.9994,425.4071,83.63417,203.2196,100,487.5213,5.39009,-11.05462
6,day_2,20/04/2014,7:26:00 AM,26,16,150.5,485.8104,5.493671,20.00051,400.0001,424.9977,92.59937,203.384,100,499.6783,5.523154,-11.29555
6,day_2,20/04/2014,7:26:20 AM,27,3,150.5,754.2421,8.304939,20.00021,400.0153,442.8174,129.2359,203.0369,100,772.8655,8.326917,-36.28143
6,day_2,20/04/2014,7:26:40 AM,28,4,150.5,311.6991,3.441,19.99841,400.0042,444.4658,142.8947,203.3066,100,322.4712,3.475852,-35.8596
6,day_2,20/04/2014,7:27:00 AM,29,17,150.5,479.1035,5.419512,20.00168,399.9926,427.2389,93.84019,203.171,100,493.1481,5.452687,-10.98453
6,day_2,20/04/2014,7:27:20 AM,30,18,150.5,493.1279,5.573127,19.99739,399.9958,426.2574,86.29544,203.2104,100,507.4277,5.606048,-11.78253
6,day_2,20/04/2014,7:27:40 AM,31,5,150.5,477.0273,5.396059,19.99757,400,425.8191,84.25465,203.1345,100,491.027,5.429247,-10.98211
6,day_2,20/04/2014,7:28:00 AM,32,6,150.5,491.0536,5.550565,20.00146,399.9999,426.4066,64.44955,203.1553,100,505.3146,5.583511,-11.63943
6,day_2,20/04/2014,7:28:20 AM,33,9,150.5,476.9282,5.394773,20.0024,399.9989,425.5757,79.15331,203.128,100,490.9419,5.428161,-11.00858
6,day_2,20/04/2014,7:28:40 AM,34,10,150.5,489.8792,5.538465,19.99925,399.9988,426.2244,62.13438,203.1282,100,504.1213,5.571431,-11.44323
6,day_2,20/04/2014,7:29:00 AM,35,11,150.5,479.8015,5.427671,20.00398,400.0013,424.4958,101.3893,203.1052,100,493.8309,5.460533,-10.93084
6,day_2,20/04/2014,7:29:20 AM,36,12,150.5,480.3955,5.433703,20.00151,400.001,424.5165,99.82425,203.103,100,494.4623,5.466841,-11.05254
6,day_2,20/04/2014,7:29:40 AM,37,13,150.5,482.4375,5.457248,20.00006,400.0024,425.5244,75.91179,203.0826,100,496.542,5.490347,-10.96024
6,day_2,20/04/2014,7:30:00 AM,38,14,150.5,492.4576,5.565637,19.99902,400.0005,424.7706,93.45674,203.1069,100,506.7511,5.598592,-11.77913
6,day_2,20/04/2014,7:30:20 AM,39,15,150.5,477.8338,5.405741,19.99966,399.9994,425.1765,83.65164,203.0666,100,491.8522,5.438926,-10.88137
6,day_2,20/04/2014,7:30:40 AM,40,16,150.5,482.5315,5.45746,20.00314,400.0004,424.7338,92.63822,203.2156,100,496.643,5.490575,-11.12057
6,day_2,20/04/2014,7:31:00 AM,41,17,150.5,480.6234,5.437035,20.00195,399.9998,424.6773,93.83971,203.0764,100,494.6769,5.469984,-10.9133
6,day_2,20/04/2014,7:31:20 AM,42,18,150.5,492.1784,5.562229,19.99766,400.0039,424.9636,86.3041,203.1182,100,506.46,5.595108,-11.82645
6,day_2,20/04/2014,7:31:40 AM,43,5,150.5,478.6205,5.413552,20.00059,399.9993,425.015,84.2422,203.0395,100,492.6562,5.446755,-11.07412
6,day_2,20/04/2014,7:32:00 AM,44,6,150.5,490.7765,5.546116,19.99702,400,425.8676,64.48974,203.0359,100,505.035,5.579106,-11.87243
6,day_2,20/04/2014,7:32:20 AM,45,9,150.5,477.7086,5.402117,20.00305,400.0034,425.2231,79.19528,202.9895,100,491.7777,5.435911,-11.27955
6,day_2,20/04/2014,7:32:40 AM,46,10,150.5,489.5749,5.533537,20.00174,400.0052,425.9589,62.16473,202.9886,100,503.8104,5.566503,-11.70818
6,day_2,20/04/2014,7:33:00 AM,47,11,150.5,481.8321,5.448799,20.00148,399.9998,424.2473,101.4465,203.0058,100,495.9298,5.48201,-11.243
6,day_2,20/04/2014,7:33:20 AM,48,12,150.5,479.0624,5.41651,19.9925,400.0009,424.2956,99.84518,203.0417,100,493.1041,5.449709,-11.43654
6,day_2,20/04/2014,7:33:40 AM,49,13,150.5,482.3247,5.454123,19.99786,400.0014,425.2885,75.96731,202.9778,100,496.4299,5.487222,-11.30004
6,day_2,20/04/2014,7:34:00 AM,50,14,150.5,491.2209,5.550035,19.99894,399.9999,424.5367,93.51168,203.0099,100,505.489,5.582945,-12.08044
6,day_2,20/04/2014,7:34:20 AM,51,15,150.5,470.3813,5.320367,20.00192,400.0002,424.9268,83.73899,202.9516,100,484.2555,5.353685,-11.10955
6,day_2,20/04/2014,7:34:40 AM,52,16,150.5,479.974,5.426677,20.00076,400.0009,424.5497,92.68938,203.1104,100,494.0341,5.459852,-11.46095
6,day_2,20/04/2014,7:35:00 AM,53,3,150.5,754.8286,8.306967,20.00292,400.0166,442.417,129.2475,202.7685,100,774.0064,8.335467,-36.71391
6,day_2,20/04/2014,7:35:20 AM,54,4,150.5,311.6514,3.438442,19.99723,400.0047,444.0375,142.7695,203.0638,100,322.5721,3.474818,-36.44803
6,day_2,20/04/2014,7:35:40 AM,55,17,150.5,478.2323,5.407205,19.99882,399.9932,426.8127,93.95632,202.9041,100,492.0857,5.441329,-10.91354
6,day_2,20/04/2014,7:36:00 AM,56,18,150.5,491.3375,5.550539,19.99946,399.9954,425.8267,86.43564,202.9618,100,505.3903,5.584021,-11.69732
6,day_2,20/04/2014,7:36:20 AM,57,5,150.5,478.8116,5.41392,20.00057,399.9997,425.3204,84.33874,202.9166,100,492.6642,5.447928,-10.87714
6,day_2,20/04/2014,7:36:40 AM,58,6,150.5,489.9867,5.536273,19.99842,400,425.8337,64.58452,202.9056,100,504.0226,5.569822,-11.53504
6,day_2,20/04/2014,7:37:00 AM,59,9,150.5,479.4696,5.420413,19.9967,399.9986,424.9273,79.21014,202.8867,100,493.3272,5.454332,-11.04527
6,day_2,20/04/2014,7:37:20 AM,60,10,150.5,490.1441,5.537951,20.00084,399.999,425.4651,62.24709,202.873,100,504.1804,5.571506,-11.54578
6,day_2,20/04/2014,7:37:40 AM,61,11,150.5,478.2477,5.407724,20.00405,399.9994,423.6169,101.4833,202.8836,100,492.0653,5.441476,-10.84603
6,day_2,20/04/2014,7:38:00 AM,62,12,150.5,481.5631,5.442557,19.99825,399.9996,423.5525,99.94711,202.8954,100,495.4525,5.476335,-11.31505
6,day_2,20/04/2014,7:38:20 AM,63,13,150.5,480.8134,5.435482,19.99568,399.9991,424.4606,76.00656,202.8516,100,494.6848,5.469252,-11.06138
6,day_2,20/04/2014,7:38:40 AM,64,14,150.5,489.9848,5.535244,20.00123,400.0014,423.5125,93.57657,202.8745,100,504.0168,5.568777,-11.70917
6,day_2,20/04/2014,7:39:00 AM,65,15,150.5,472.0363,5.337716,20.00364,400.0018,423.7765,83.75172,202.8316,100,485.7623,5.371828,-10.83624
6,day_2,20/04/2014,7:39:20 AM,66,16,150.5,477.8797,5.402566,20.00159,400.0006,423.2077,92.72913,202.9654,100,491.7034,5.43649,-11.02508
6,day_2,20/04/2014,7:39:40 AM,67,17,150.5,476.536,5.387843,19.99766,399.9986,422.9396,93.9523,202.7816,100,490.3344,5.421752,-10.95226
6,day_2,20/04/2014,7:40:00 AM,68,18,150.5,489.3862,5.527047,20.00891,400.0013,423.0456,86.46875,202.817,100,503.4159,5.560709,-11.96316
6,day_2,20/04/2014,7:40:20 AM,69,5,150.5,473.3636,5.352133,20.00272,400.0001,423.095,84.32981,202.7734,100,487.1163,5.386209,-10.94495
6,day_2,20/04/2014,7:40:40 AM,70,6,150.5,489.0853,5.523455,19.99837,400.0006,423.9225,64.58882,202.7448,100,503.1021,5.557015,-12.00363
6,day_2,20/04/2014,7:41:00 AM,71,9,150.5,476.6759,5.387861,19.99974,400.0005,423.2441,79.24213,202.7338,100,490.4739,5.421747,-11.23456
6,day_2,20/04/2014,7:41:20 AM,72,10,150.5,489.139,5.524842,20.00233,400.0016,423.9579,62.28981,202.6876,100,503.1575,5.558458,-11.85589
6,day_2,20/04/2014,7:41:40 AM,73,11,150.5,477.4005,5.396585,20.00438,400.0015,422.1974,101.4872,202.6824,100,491.2135,5.430516,-11.1265
6,day_2,20/04/2014,7:42:00 AM,74,12,150.5,480.5169,5.429278,20.0019,400.0008,422.1945,99.90759,202.7045,100,494.3857,5.463063,-11.58296
6,day_2,20/04/2014,7:42:20 AM,75,13,150.5,481.5316,5.442402,19.99894,400.0005,423.1105,76.02882,202.6442,100,495.4252,5.476257,-11.27457
