flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
2,day_2,7/12/2013,11:18:20 AM,106,3,150.5,766.5167,8.346557,19.99845,400.0099,456.5099,143.1031,198.3827,100,773.8396,8.340533,-35.92044
2,day_2,7/12/2013,11:18:40 AM,107,4,150.5,315.9531,3.452681,19.99517,399.9997,457.6144,123.7714,198.6534,100,323.2092,3.485416,-35.41413
2,day_2,7/12/2013,11:19:00 AM,108,5,150.5,380.9638,4.276959,20.00074,399.9928,439.6677,87.34505,198.6264,100,387.6713,4.295335,-8.932207
2,day_2,7/12/2013,11:19:20 AM,109,6,150.5,383.394,4.286191,19.99787,399.9958,439.6234,66.33615,198.768,100,390.0887,4.304385,-12.99895
2,day_2,7/12/2013,11:19:40 AM,110,13,150.5,381.3261,4.280877,19.99934,399.9955,438.605,77.2981,198.5737,100,388.039,4.299295,-8.958336
2,day_2,7/12/2013,11:20:00 AM,111,14,150.5,389.6536,4.355329,20.00159,399.9979,437.4873,95.24913,198.6365,100,396.3603,4.373091,-13.11111
2,day_2,7/12/2013,11:20:20 AM,112,15,150.5,381.5717,4.284051,20.00173,399.9988,437.7822,85.90418,198.6395,100,388.2752,4.302387,-8.849158
2,day_2,7/12/2013,11:20:40 AM,113,16,150.5,394.9142,4.415221,20.00311,399.9927,437.2966,94.84489,198.7349,100,401.6241,4.432455,-12.82405
2,day_2,7/12/2013,11:21:00 AM,114,11,150.5,381.3008,4.280966,20.0011,399.9993,436.8448,103.1634,198.5828,100,388.0007,4.299256,-8.86976
2,day_2,7/12/2013,11:21:20 AM,115,12,150.5,390.5817,4.362467,19.99887,400.0001,436.8957,101.1614,198.9025,100,397.277,4.380009,-13.83057
2,day_2,7/12/2013,11:21:40 AM,116,7,150.5,381.6931,4.285147,20.00353,400.0007,437.5793,86.13453,199.4432,100,388.3937,4.303378,-8.923409
2,day_2,7/12/2013,11:22:00 AM,117,8,150.5,383.072,4.280255,20.0031,400.0002,438.2364,70.5731,200.0241,100,389.7762,4.2986,-13.53524
2,day_2,7/12/2013,11:22:20 AM,118,9,150.5,383.1508,4.299265,19.9995,399.9993,437.8167,81.00972,198.6206,100,389.8484,4.317367,-9.411691
2,day_2,7/12/2013,11:22:40 AM,119,10,150.5,393.4061,4.400386,19.99753,399.9979,439.5209,46.2859,198.5906,100,400.113,4.417772,-12.37837
2,day_2,7/12/2013,11:23:00 AM,120,5,150.5,380.7963,4.274126,20.00152,400.0043,437.5701,87.47246,198.4542,100,387.4786,4.292307,-9.138403
2,day_2,7/12/2013,11:23:20 AM,121,6,150.5,385.6686,4.310599,20.00341,399.999,438.5322,66.50862,198.606,100,392.3605,4.328483,-13.22005
2,day_2,7/12/2013,11:23:40 AM,122,13,150.5,379.7496,4.262774,19.99715,399.9982,437.991,77.24978,198.5041,100,386.4389,4.281096,-9.067168
2,day_2,7/12/2013,11:24:00 AM,123,14,150.5,389.5707,4.354207,20.00245,400.0005,437.1618,95.23236,198.5979,100,396.2748,4.37195,-13.15578
2,day_2,7/12/2013,11:24:20 AM,124,15,150.5,380.2632,4.268538,20.00089,400.0004,437.585,85.89091,198.6325,100,386.9582,4.286923,-9.050448
2,day_2,7/12/2013,11:24:40 AM,125,16,150.5,393.771,4.402492,20.00447,399.9996,437.1955,94.73298,198.8099,100,400.4835,4.419896,-12.81774
2,day_2,7/12/2013,11:25:00 AM,126,11,150.5,379.1016,4.256658,19.99979,399.9998,436.7911,103.1845,198.5163,100,385.8147,4.275209,-8.829165
2,day_2,7/12/2013,11:25:20 AM,127,12,150.5,391.8192,4.375979,20.00369,399.9989,436.8259,101.1056,198.9063,100,398.5176,4.393461,-13.88118
2,day_2,7/12/2013,11:25:40 AM,128,7,150.5,378.7843,4.252728,20.00066,399.9989,437.5543,85.99035,199.5432,100,385.4815,4.271185,-8.906044
2,day_2,7/12/2013,11:26:00 AM,129,8,150.5,381.0222,4.258195,19.99662,400.0011,438.2368,70.45911,200.1349,100,387.725,4.276682,-13.37273
2,day_2,7/12/2013,11:26:20 AM,130,9,150.5,380.2465,4.26796,19.99574,400.0013,437.8542,80.91951,198.6657,100,386.9527,4.286443,-9.147428
2,day_2,7/12/2013,11:26:40 AM,131,10,150.5,392.3188,4.390069,19.99951,399.9982,439.545,46.37291,198.667,100,399.0295,4.407559,-11.986
2,day_2,7/12/2013,11:27:00 AM,132,3,150.5,766.7156,8.347628,20.00544,400.0084,456.5014,143.0466,198.3327,100,773.6099,8.334519,-36.32919
2,day_2,7/12/2013,11:27:20 AM,133,4,150.5,315.943,3.452654,20.00859,400.0064,457.6435,123.5881,198.6279,100,322.6147,3.477372,-35.8668
2,day_2,7/12/2013,11:27:40 AM,134,5,150.5,377.7267,4.241804,20.00556,399.9947,439.69,87.32017,198.6346,100,384.4122,4.260327,-8.675797
2,day_2,7/12/2013,11:28:00 AM,135,6,150.5,385.0448,4.304006,20.0018,399.993,439.7109,66.37375,198.7267,100,391.7305,4.321959,-13.1225
2,day_2,7/12/2013,11:28:20 AM,136,13,150.5,381.1293,4.278642,20.0003,399.9993,438.6801,77.16493,198.6592,100,387.8121,4.296856,-8.941282
2,day_2,7/12/2013,11:28:40 AM,137,14,150.5,389.4802,4.353111,19.99868,399.9982,437.5582,95.21931,198.6768,100,396.1628,4.370693,-13.16066
2,day_2,7/12/2013,11:29:00 AM,138,15,150.5,381.4692,4.282084,20.0005,399.9999,437.8495,85.83314,198.7697,100,388.1497,4.300205,-9.031631
2,day_2,7/12/2013,11:29:20 AM,139,16,150.5,391.5096,4.377583,19.99786,399.9982,437.3551,94.7863,198.8383,100,398.1935,4.394983,-12.7367
2,day_2,7/12/2013,11:29:40 AM,140,11,150.5,378.0844,4.244651,19.99853,399.9996,436.9737,103.0255,198.6858,100,384.7719,4.263146,-8.947103
2,day_2,7/12/2013,11:30:00 AM,141,12,150.5,390.7755,4.363652,19.99698,399.9973,437.0706,101.0524,199.0388,100,397.4548,4.381095,-14.0275
2,day_2,7/12/2013,11:30:20 AM,142,7,150.5,380.0786,4.267205,19.99922,400.0011,437.7069,85.89552,199.7075,100,386.7312,4.285174,-8.873111
2,day_2,7/12/2013,11:30:40 AM,143,8,150.5,376.1866,4.206445,19.99948,399.9991,438.4078,70.39056,200.2668,100,382.8706,4.225164,-12.89931
2,day_2,7/12/2013,11:31:00 AM,144,9,150.5,379.708,4.261737,19.9979,399.9994,437.9818,80.85539,198.8167,100,386.4265,4.280387,-9.199624
2,day_2,7/12/2013,11:31:20 AM,145,10,150.5,390.8561,4.374069,19.99512,400.0006,439.6723,46.52823,198.8944,100,397.5323,4.391381,-11.90518
2,day_2,7/12/2013,11:31:40 AM,146,5,150.5,380.4344,4.270958,20.00523,399.998,437.7527,87.26109,198.7893,100,387.1303,4.289292,-8.943584
2,day_2,7/12/2013,11:32:00 AM,147,6,150.5,384.1158,4.293924,19.99912,399.9984,438.7214,66.23129,198.9153,100,390.7982,4.312028,-13.0414
2,day_2,7/12/2013,11:32:20 AM,148,13,150.5,379.4587,4.259937,20.00139,399.9965,438.2068,77.14382,198.7393,100,386.1548,4.278401,-8.962624
2,day_2,7/12/2013,11:32:40 AM,149,14,150.5,388.887,4.346062,20.0012,399.9989,437.3905,95.24948,198.7532,100,395.5685,4.363684,-13.2625
2,day_2,7/12/2013,11:33:00 AM,150,15,150.5,375.4612,4.215235,19.99997,399.9994,437.8648,85.80513,198.8638,100,382.1646,4.234096,-8.985153
2,day_2,7/12/2013,11:33:20 AM,151,16,150.5,390.0822,4.360798,19.99884,399.9978,437.4924,94.74458,198.9805,100,396.7639,4.378305,-12.93938
2,day_2,7/12/2013,11:33:40 AM,152,11,150.5,377.8905,4.241822,20.00139,399.9987,437.1575,102.9783,198.9008,100,384.5756,4.260331,-9.096263
2,day_2,7/12/2013,11:34:00 AM,153,12,150.5,391.5344,4.370819,20.0006,399.9991,437.2408,100.9071,199.2848,100,398.2121,4.388241,-14.29742
2,day_2,7/12/2013,11:34:20 AM,154,7,150.5,377.6487,4.238916,19.99561,400.0002,437.9037,85.88808,199.8077,100,384.3202,4.257254,-9.154015
2,day_2,7/12/2013,11:34:40 AM,155,8,150.5,370.1337,4.139455,20.00033,400.0007,438.5728,70.31023,200.459,100,376.8191,4.158763,-12.809
2,day_2,7/12/2013,11:35:00 AM,156,9,150.5,381.0411,4.275401,20.00166,399.9989,438.1879,80.78941,198.9307,100,387.7226,4.293581,-9.46843
