flux_campaign,day,Date,TIMESTAMP,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,2,23/02/2014,6:43:40 AM,1,3,150.5,762.3816,8.331763,19.99797,400.0006,463.7225,140.9471,195.1757,100,2316.978,22.03386,-149.3738
4,2,23/02/2014,6:44:00 AM,2,4,150.5,314.0528,3.444672,19.99305,399.9941,463.7938,141.4333,195.4738,100,313.8408,3.444684,-18.22956
4,2,23/02/2014,6:44:20 AM,3,13,150.5,408.585,4.599214,19.99966,400.2648,445.6449,81.11813,195.8851,100,417.6347,4.624209,-9.599364
4,2,23/02/2014,6:44:40 AM,4,14,150.5,439.6327,4.941453,19.99911,399.9908,443.5147,98.80726,195.6136,100,448.8929,4.964669,-10.72371
4,2,23/02/2014,6:45:00 AM,5,17,150.5,420.3009,4.728953,20.00499,399.9962,442.7782,100.2175,195.6031,100,429.4345,4.753366,-9.910967
4,2,23/02/2014,6:45:20 AM,6,18,150.5,464.1856,5.212233,20.00258,399.9989,442.7738,92.05222,195.6398,100,473.5775,5.233677,-11.47932
4,2,23/02/2014,6:45:40 AM,7,5,150.5,413.1076,4.649832,19.99953,400,442.6201,90.4334,195.5877,100,422.2419,4.675159,-9.612733
4,2,23/02/2014,6:46:00 AM,8,6,150.5,436.224,4.90338,19.99907,400.0004,443.439,70.23418,195.6095,100,445.461,4.926807,-10.70507
4,2,23/02/2014,6:46:20 AM,9,9,150.5,415.628,4.676975,19.99966,400.0005,442.7682,84.19834,195.5993,100,424.767,4.702055,-9.836452
4,2,23/02/2014,6:46:40 AM,10,10,150.5,422.058,4.747544,19.99787,399.9988,444.2057,55.15334,195.591,100,431.2169,4.772008,-10.13641
4,2,23/02/2014,6:47:00 AM,11,7,150.5,418.2239,4.706126,19.99708,399.9996,442.5289,87.24989,197.851,100,427.3563,4.730767,-9.826234
4,2,23/02/2014,6:47:20 AM,12,8,150.5,456.0136,5.121898,20.00123,400.0003,443.1473,74.56992,196.7935,100,465.3634,5.143958,-11.27597
4,2,23/02/2014,6:47:40 AM,13,11,150.5,416.1044,4.682952,20.008,399.9993,441.7339,106.7248,195.6678,100,425.2403,4.707853,-9.718987
4,2,23/02/2014,6:48:00 AM,14,12,150.5,436.0183,4.901593,19.99839,400.0009,441.8176,104.9281,195.7767,100,445.2535,4.925063,-10.59416
4,2,23/02/2014,6:48:20 AM,15,13,150.5,406.0498,4.571454,20.00268,400.0001,442.9091,81.42776,195.6736,100,415.1205,4.597049,-9.453419
4,2,23/02/2014,6:48:40 AM,16,14,150.5,439.3753,4.93782,20.00151,399.9975,442.1686,98.82478,195.6706,100,448.6309,4.961016,-10.87449
4,2,23/02/2014,6:49:00 AM,17,17,150.5,418.9523,4.713792,19.99941,399.9992,442.1539,100.2337,195.6691,100,428.1186,4.738656,-9.941219
4,2,23/02/2014,6:49:20 AM,18,18,150.5,463.3349,5.202788,19.99878,400.0003,442.5541,92.0864,195.7047,100,472.7187,5.224271,-11.46307
4,2,23/02/2014,6:49:40 AM,19,5,150.5,411.2583,4.628795,20.00145,400.0004,442.5817,90.47097,195.63,100,420.3618,4.653996,-9.686361
4,2,23/02/2014,6:50:00 AM,20,6,150.5,436.2321,4.903574,19.99731,399.9997,443.5298,70.23224,195.6504,100,445.4699,4.927038,-10.67855
4,2,23/02/2014,6:50:20 AM,21,9,150.5,428.4044,4.81778,20.00406,400.0007,442.8104,84.43188,195.6563,100,437.5801,4.841571,-10.31129
4,2,23/02/2014,6:50:40 AM,22,10,150.5,431.0631,4.847832,20.00321,399.9998,444.2486,55.03222,195.6031,100,440.2265,4.871149,-10.25083
4,2,23/02/2014,6:51:00 AM,23,7,150.5,408.8516,4.600438,20.0021,399.999,442.5692,87.29018,197.8803,100,417.9341,4.625689,-9.992411
4,2,23/02/2014,6:51:20 AM,24,8,150.5,456.0392,5.119728,19.99763,400.0625,443.2076,74.5174,196.8463,100,465.3859,5.141769,-11.74458
4,2,23/02/2014,6:51:40 AM,25,11,150.5,441.1904,4.956063,20.00496,399.9994,441.7839,107.3253,195.7114,100,450.4611,4.979197,-11.28313
4,2,23/02/2014,6:52:00 AM,26,12,150.5,451.3502,5.068326,19.99648,399.9988,441.8831,105.4536,195.7923,100,460.624,5.090146,-11.55065
4,2,23/02/2014,6:52:20 AM,27,3,150.5,761.7383,8.323147,19.99861,400.0197,461.337,140.2027,195.334,100,772.7573,8.324801,-36.39131
4,2,23/02/2014,6:52:40 AM,28,4,150.5,314.5474,3.448014,19.99856,400.0056,462.6263,141.4218,195.5934,100,323.1202,3.480719,-36.44886
4,2,23/02/2014,6:53:00 AM,29,13,150.5,413.5571,4.652306,19.99681,399.9945,445.099,81.49448,195.6523,100,422.418,4.676861,-9.665182
4,2,23/02/2014,6:53:20 AM,30,14,150.5,439.8972,4.941751,20.00078,399.9958,443.3588,98.8375,195.7007,100,448.9775,4.96525,-10.79476
4,2,23/02/2014,6:53:40 AM,31,17,150.5,417.9977,4.70123,20.00193,399.9967,442.7999,100.2354,195.6945,100,426.8557,4.725135,-9.845547
4,2,23/02/2014,6:54:00 AM,32,18,150.5,463.2304,5.199067,19.99357,400.0004,442.9152,92.10386,195.7496,100,472.4964,5.221575,-11.50845
4,2,23/02/2014,6:54:20 AM,33,5,150.5,408.0983,4.59191,20.00287,399.9989,442.8691,90.44971,195.6814,100,416.9259,4.616812,-9.502769
4,2,23/02/2014,6:54:40 AM,34,6,150.5,436.8065,4.907373,19.99984,400.0011,443.6894,70.24069,195.6658,100,445.8657,4.931007,-10.76048
4,2,23/02/2014,6:55:00 AM,35,9,150.5,413.8681,4.654923,20.00615,399.9986,442.9914,84.46802,195.684,100,422.7519,4.679682,-9.85084
4,2,23/02/2014,6:55:20 AM,36,10,150.5,445.8496,5.008132,20.00234,400.0005,444.402,55.01643,195.6726,100,454.9819,5.031377,-10.84876
4,2,23/02/2014,6:55:40 AM,37,7,150.5,414.0091,4.657241,20.00275,399.998,442.7096,87.27641,197.959,100,422.9,4.68205,-9.696626
4,2,23/02/2014,6:56:00 AM,38,8,150.5,455.3986,5.112492,20.00029,400.0007,443.3276,74.5182,196.8889,100,464.6053,5.135341,-11.32181
4,2,23/02/2014,6:56:20 AM,39,11,150.5,417.0773,4.691095,19.99835,399.9996,441.8541,107.3122,195.7269,100,425.9724,4.715595,-9.795359
4,2,23/02/2014,6:56:40 AM,40,12,150.5,447.4663,5.025199,20.0036,400.0009,441.9862,105.4499,195.8106,100,456.6058,5.048388,-11.03437
4,2,23/02/2014,6:57:00 AM,41,13,150.5,410.2646,4.616038,20.00452,399.9999,443.1151,81.48177,195.7064,100,419.1082,4.640815,-9.537595
4,2,23/02/2014,6:57:20 AM,42,14,150.5,439.2534,4.934313,20.0022,400.0009,442.3192,98.8471,195.7369,100,448.3297,4.957866,-10.83855
4,2,23/02/2014,6:57:40 AM,43,17,150.5,423.3346,4.759381,20.00185,400.0002,442.2984,100.2384,195.7125,100,432.2829,4.783587,-10.18176
4,2,23/02/2014,6:58:00 AM,44,18,150.5,462.2248,5.188259,20.00272,400.0007,442.6742,92.06825,195.7565,100,471.4868,5.210749,-11.44568
4,2,23/02/2014,6:58:20 AM,45,5,150.5,412.502,4.640584,20.00253,399.9991,442.7214,90.45725,195.7144,100,421.3682,4.665337,-9.644372
4,2,23/02/2014,6:58:40 AM,46,6,150.5,436.0864,4.899694,19.99485,399.9987,443.6418,70.21854,195.7034,100,445.1396,4.923347,-10.68596
4,2,23/02/2014,6:59:00 AM,47,9,150.5,411.4267,4.628514,19.9993,400.0746,442.9702,84.38708,195.7314,100,420.2714,4.653207,-9.641523
4,2,23/02/2014,6:59:20 AM,48,10,150.5,444.8033,4.996619,19.99639,399.9996,444.4032,55.01402,195.6595,100,453.9205,5.019951,-10.78746
4,2,23/02/2014,6:59:40 AM,49,7,150.5,408.0099,4.590695,19.99888,400.0006,442.7487,87.28989,197.9661,100,416.8462,4.615678,-9.55674
4,2,23/02/2014,7:00:00 AM,50,8,150.5,454.4435,5.101469,19.99504,400.0013,443.3503,74.52191,196.8819,100,463.6382,5.124366,-11.37657
4,2,23/02/2014,7:00:20 AM,51,11,150.5,416.6185,4.685646,20.00225,399.9846,441.9202,107.3653,195.6987,100,425.5279,4.710304,-9.873139
4,2,23/02/2014,7:00:40 AM,52,12,150.5,446.6212,5.01589,19.99842,400.0005,442.0123,105.4353,195.8505,100,455.7538,5.039083,-11.01154
4,2,23/02/2014,7:01:00 AM,53,3,150.5,762.2148,8.326895,19.99881,400.019,461.4127,140.1799,195.3158,100,773.8996,8.337312,-36.36783
4,2,23/02/2014,7:01:20 AM,54,4,150.5,314.4276,3.446332,19.99607,400.0049,462.7578,141.5208,195.6313,100,322.501,3.475696,-35.99222
4,2,23/02/2014,7:01:40 AM,55,13,150.5,411.7997,4.632284,20.00084,399.9958,445.2114,81.48876,195.6904,100,420.6463,4.657377,-9.637356
4,2,23/02/2014,7:02:00 AM,56,14,150.5,438.4352,4.92516,20.00402,399.9954,443.4702,98.80907,195.7614,100,447.4642,4.948823,-10.73289
4,2,23/02/2014,7:02:20 AM,57,17,150.5,417.0643,4.690444,20.00448,399.9974,442.9347,100.2339,195.7299,100,425.9287,4.715095,-9.798777
4,2,23/02/2014,7:02:40 AM,58,18,150.5,460.6383,5.170973,19.99921,399.9979,443.041,92.04482,195.7829,100,469.8123,5.193361,-11.23276
4,2,23/02/2014,7:03:00 AM,59,5,150.5,409.8164,4.610534,20.00172,399.9973,442.9712,90.47765,195.7125,100,418.6454,4.635667,-9.542395
4,2,23/02/2014,7:03:20 AM,60,6,150.5,435.0855,4.888531,19.99911,400.0022,443.7739,70.22391,195.7157,100,444.0873,4.912316,-10.56378
4,2,23/02/2014,7:03:40 AM,61,9,150.5,408.2287,4.593009,20.00003,400.0009,443.084,84.45617,195.7261,100,417.0593,4.618378,-9.483975
4,2,23/02/2014,7:04:00 AM,62,10,150.5,443.1266,4.97803,20.00233,399.9991,444.5134,54.91993,195.7395,100,452.1802,5.00138,-10.65391
4,2,23/02/2014,7:04:20 AM,63,7,150.5,408.844,4.599827,19.99765,400.001,442.8217,87.24596,198.031,100,417.6715,4.625052,-9.506349
