TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
11:42:20,21/04/2014 11:42,3,772.9517,8.327283,-36.34645,H3
11:42:40,21/04/2014 11:42,4,322.2713,3.473494,-35.91598,H3
11:43:40,21/04/2014 11:43,17,435.1868,4.840964,-4.993098,H3
11:44:00,21/04/2014 11:44,18,407.2492,4.53335,-4.298926,H3
11:44:20,21/04/2014 11:44,3,773.1049,8.33115,-36.09,H3
11:44:40,21/04/2014 11:44,4,322.37,3.474595,-35.90562,H3
11:45:40,21/04/2014 11:45,17,435.2882,4.842021,-5.007546,H3
11:46:00,21/04/2014 11:46,18,407.2184,4.532977,-4.305812,H3
11:46:20,21/04/2014 11:46,3,773.4424,8.332634,-36.33908,H3
11:46:40,21/04/2014 11:46,4,322.5517,3.476128,-36.02383,H3
11:47:40,21/04/2014 11:47,17,436.1674,4.852018,-4.963401,H3
11:48:00,21/04/2014 11:48,18,407.743,4.539031,-4.258911,H3
11:48:20,21/04/2014 11:48,3,773.3123,8.33346,-36.08136,H3
11:48:40,21/04/2014 11:48,4,322.5927,3.47697,-35.91292,H3
11:49:40,21/04/2014 11:49,17,436.0302,4.851553,-4.745534,H3
11:50:00,21/04/2014 11:50,18,407.7867,4.540994,-3.93456,H3
11:50:20,21/04/2014 11:50,3,773.3197,8.333446,-36.0923,H3
11:50:40,21/04/2014 11:50,4,322.5723,3.478653,-35.38512,H3
11:51:40,21/04/2014 11:51,17,435.9663,4.850673,-4.780239,H3
11:52:00,21/04/2014 11:52,18,408.2822,4.545713,-4.10991,H3
11:52:20,21/04/2014 11:52,3,773.4381,8.336325,-35.90696,H3
11:52:40,21/04/2014 11:52,4,322.637,3.478202,-35.70375,H3
11:53:40,21/04/2014 11:53,17,436.1169,4.851384,-4.978096,H3
11:54:00,21/04/2014 11:54,18,408.5591,4.548306,-4.216924,H3
11:54:20,21/04/2014 11:54,3,773.4451,8.3345,-36.12679,H3
11:54:40,21/04/2014 11:54,4,322.6255,3.477596,-35.83716,H3
11:55:40,21/04/2014 11:55,17,435.9463,4.849357,-5.004559,H3
11:56:00,21/04/2014 11:56,18,408.3563,4.546387,-4.142799,H3
12:14:20,21/04/2014 12:14,3,773.5266,8.335138,-36.15443,H3
12:14:40,21/04/2014 12:14,4,322.5876,3.478031,-35.60344,H3
12:15:40,21/04/2014 12:15,17,435.8517,4.847998,-5.067528,H3
12:16:00,21/04/2014 12:16,18,414.3169,4.612288,-4.242275,H3
12:16:20,21/04/2014 12:16,3,773.014,8.328756,-36.25364,H3
12:16:40,21/04/2014 12:16,4,322.3849,3.473593,-36.22864,H3
