TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor,
12:26:40,09/12/2013 12:26:40,3,773.9952,8.339382,-36.24739,H4,
12:27:00,09/12/2013 12:27:00,4,323.143,3.483334,-35.7929,H4,
12:27:20,09/12/2013 12:27:20,17,406.8409,4.526415,-4.824386,H4,
12:27:40,09/12/2013 12:27:40,18,390.7552,4.350357,-4.158941,H4,
12:28:00,09/12/2013 12:28:00,3,773.2101,8.331018,-36.23639,H4,
12:28:20,09/12/2013 12:28:20,4,322.3629,3.474821,-35.82191,H4,
12:28:40,09/12/2013 12:28:40,17,406.7795,4.525998,-4.766049,H4,
12:29:00,09/12/2013 12:29:00,18,389.8649,4.340931,-4.047368,H4,
12:29:20,09/12/2013 12:29:20,3,773.2195,8.331595,-36.18139,H4,
12:29:40,09/12/2013 12:29:40,4,322.445,3.475705,-35.82216,H4,
12:30:00,09/12/2013 12:30:00,17,406.7966,4.526045,-4.797648,H4,
12:30:20,09/12/2013 12:30:20,18,389.6322,4.338053,-4.113496,H4,
12:30:40,09/12/2013 12:30:40,3,773.3569,8.333175,-36.17008,H4,
12:31:00,09/12/2013 12:31:00,4,322.575,3.476699,-35.93481,H4,
12:31:20,09/12/2013 12:31:20,17,406.7808,4.525561,-4.865246,H4,
12:31:40,09/12/2013 12:31:40,18,389.401,4.335133,-4.192757,H4,
12:32:00,09/12/2013 12:32:00,3,773.3507,8.33222,-36.27273,H4,
12:32:20,09/12/2013 12:32:20,4,322.5978,3.476978,-35.92595,H4,
12:32:40,09/12/2013 12:32:40,17,406.6904,4.524704,-4.832541,H4,
12:33:00,09/12/2013 12:33:00,18,389.0802,4.332015,-4.088757,H4,
12:33:20,09/12/2013 12:33:20,3,773.4236,8.333127,-36.25868,H4,
12:33:40,09/12/2013 12:33:40,4,322.5815,3.477026,-35.86371,H4,
12:34:00,09/12/2013 12:34:00,17,406.6463,4.524577,-4.752515,H4,
12:34:20,09/12/2013 12:34:20,18,388.9952,4.331111,-4.078704,H4,
12:46:40,09/12/2013 12:46:40,3,773.493,8.334909,-36.13903,H4,
12:47:00,09/12/2013 12:47:00,4,322.5618,3.476927,-35.83259,H4,
