TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
9:26:40,10/12/2013 9:26,3,773.1555,8.331159,-36.15219,H4
9:27:00,10/12/2013 9:27,4,322.3956,3.475057,-35.8541,H4
9:27:20,10/12/2013 9:27,9,405.1414,4.507878,-4.742497,H4
9:27:40,10/12/2013 9:27,10,389.9691,4.341051,-4.286222,H4
9:28:00,10/12/2013 9:28,3,773.2324,8.330989,-36.26775,H4
9:28:20,10/12/2013 9:28,4,322.5048,3.476421,-35.80238,H4
9:28:40,10/12/2013 9:28,9,405.1147,4.508254,-4.593894,H4
9:29:00,10/12/2013 9:29,10,388.9663,4.330402,-4.167793,H4
9:29:20,10/12/2013 9:29,3,773.1552,8.331695,-36.08984,H4
9:29:40,10/12/2013 9:29,4,322.4332,3.475714,-35.78441,H4
9:30:00,10/12/2013 9:30,9,405.2409,4.509125,-4.711614,H4
9:30:20,10/12/2013 9:30,10,388.4414,4.324408,-4.202723,H4
9:30:40,10/12/2013 9:30,3,773.301,8.333108,-36.10802,H4
9:31:00,10/12/2013 9:31,4,322.629,3.477611,-35.84373,H4
9:31:20,10/12/2013 9:31,9,405.3297,4.510468,-4.633447,H4
9:31:40,10/12/2013 9:31,10,388.3354,4.323499,-4.140074,H4
9:32:00,10/12/2013 9:32,3,773.4059,8.334625,-36.06328,H4
9:32:20,10/12/2013 9:32,4,322.6161,3.477735,-35.77047,H4
9:32:40,10/12/2013 9:32,9,405.2667,4.509539,-4.683615,H4
9:33:00,10/12/2013 9:33,10,387.7786,4.317228,-4.156717,H4
9:33:20,10/12/2013 9:33,3,773.4688,8.334054,-36.2079,H4
9:33:40,10/12/2013 9:33,4,322.6599,3.477606,-35.93715,H4
9:34:00,10/12/2013 9:34,9,405.2376,4.509449,-4.632219,H4
9:34:20,10/12/2013 9:34,10,387.1193,4.310292,-4.063463,H4
9:34:40,10/12/2013 9:34,3,773.3258,8.332884,-36.16491,H4
9:35:00,10/12/2013 9:35,4,322.5617,3.477284,-35.73317,H4
9:35:20,10/12/2013 9:35,9,405.3189,4.510163,-4.674275,H4
9:35:40,10/12/2013 9:35,10,386.9664,4.308461,-4.092949,H4
9:36:00,10/12/2013 9:36,3,773.3381,8.332924,-36.17562,H4
9:36:20,10/12/2013 9:36,4,322.5792,3.477008,-35.86187,H4
9:36:40,10/12/2013 9:36,9,405.3587,4.510941,-4.60021,H4
9:37:00,10/12/2013 9:37,10,386.828,4.307063,-4.059818,H4
9:37:20,10/12/2013 9:37,3,773.3375,8.333059,-36.15913,H4
9:37:40,10/12/2013 9:37,4,322.5747,3.477337,-35.75708,H4
9:48:00,10/12/2013 9:48,3,773.1166,8.330845,-36.13984,H4
9:48:20,10/12/2013 9:48,4,322.3224,3.474047,-35.91529,H4
9:48:40,10/12/2013 9:48,9,404.792,4.504103,-4.717615,H4
9:49:00,10/12/2013 9:49,10,377.711,4.20621,-3.903954,H4
9:49:20,10/12/2013 9:49,3,773.2008,8.330469,-36.28851,H4
9:49:40,10/12/2013 9:49,4,322.4485,3.475348,-35.93172,H4
9:50:00,10/12/2013 9:50,9,404.799,4.504395,-4.670313,H4
9:50:20,10/12/2013 9:50,10,377.4895,4.203711,-3.911597,H4
9:50:40,10/12/2013 9:50,3,773.3633,8.332536,-36.25206,H4
9:51:00,10/12/2013 9:51,4,322.5052,3.475861,-35.95866,H4
9:51:20,10/12/2013 9:51,9,404.7571,4.503478,-4.769933,H4
9:51:40,10/12/2013 9:51,10,377.2184,4.200727,-3.903338,H4
9:52:00,10/12/2013 9:52,3,773.3792,8.332894,-36.2303,H4
9:52:20,10/12/2013 9:52,4,322.5809,3.476794,-35.92633,H4
9:52:40,10/12/2013 9:52,9,404.7849,4.503981,-4.727278,H4
9:53:00,10/12/2013 9:53,10,377.0186,4.19872,-3.851837,H4
9:53:20,10/12/2013 9:53,3,773.3463,8.332317,-36.25598,H4
9:53:40,10/12/2013 9:53,4,322.5166,3.47653,-35.80735,H4
9:54:00,10/12/2013 9:54,9,404.9255,4.505143,-4.815986,H4
9:54:20,10/12/2013 9:54,10,377.2926,4.200965,-4.04273,H4
9:54:40,10/12/2013 9:54,3,773.2012,8.330835,-36.24657,H4
9:55:00,10/12/2013 9:55,4,322.599,3.476048,-36.18718,H4
9:55:20,10/12/2013 9:55,9,404.9423,4.505758,-4.721603,H4
9:55:40,10/12/2013 9:55,10,377.3777,4.202402,-3.92695,H4
9:56:00,10/12/2013 9:56,3,773.5959,8.334007,-36.37161,H4
9:56:20,10/12/2013 9:56,4,322.6805,3.477451,-36.04204,H4
9:56:40,10/12/2013 9:56,9,404.811,4.503736,-4.845523,H4
9:57:00,10/12/2013 9:57,10,377.1596,4.199847,-3.956771,H4
9:57:20,10/12/2013 9:57,3,773.5547,8.333836,-36.34007,H4
9:57:40,10/12/2013 9:57,4,322.619,3.477164,-35.93767,H4
9:58:00,10/12/2013 9:58,9,404.7047,4.503034,-4.739269,H4
9:58:20,10/12/2013 9:58,10,376.976,4.198246,-3.851737,H4
