TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
12:22:20,25/02/2014 12:22,3,773.4288,8.334756,-36.0768,R1
12:22:40,25/02/2014 12:22,4,322.7172,3.478719,-35.79998,R1
12:23:40,25/02/2014 12:23,11,425.0275,4.728956,-4.78229,R1
12:24:00,25/02/2014 12:24,12,393.5517,4.382086,-4.023645,R1
12:24:20,25/02/2014 12:24,3,773.4653,8.333953,-36.21511,R1
12:24:40,25/02/2014 12:24,4,322.5974,3.477009,-35.91623,R1
12:25:40,25/02/2014 12:25,11,424.566,4.724003,-4.743908,R1
12:26:00,25/02/2014 12:26,12,392.4911,4.371043,-3.84901,R1
12:26:20,25/02/2014 12:26,3,772.9084,8.328527,-36.1486,R1
12:26:40,25/02/2014 12:26,4,322.364,3.474425,-35.93489,R1
12:27:40,25/02/2014 12:27,11,424.4573,4.722471,-4.811942,R1
12:28:00,25/02/2014 12:28,12,392.7352,4.373507,-3.90695,R1
12:28:20,25/02/2014 12:28,3,773.171,8.330828,-36.20964,R1
12:28:40,25/02/2014 12:28,4,322.431,3.475533,-35.82804,R1
12:29:40,25/02/2014 12:29,11,424.5121,4.723032,-4.822045,R1
12:30:00,25/02/2014 12:30,12,392.8427,4.374997,-3.84006,R1
12:30:20,25/02/2014 12:30,3,773.0302,8.329258,-36.21576,R1
12:30:40,25/02/2014 12:30,4,322.456,3.475526,-35.90448,R1
12:31:40,25/02/2014 12:31,11,424.6932,4.725047,-4.822128,R1
12:32:00,25/02/2014 12:32,12,393.1801,4.378638,-3.866715,R1
12:32:20,25/02/2014 12:32,3,773.294,8.332599,-36.15818,R1
12:32:40,25/02/2014 12:32,4,322.6157,3.477185,-35.92196,R1
12:33:40,25/02/2014 12:33,11,424.5854,4.724114,-4.765958,R1
12:34:00,25/02/2014 12:34,12,393.7924,4.383028,-4.418645,R1
12:54:20,25/02/2014 12:54,3,773.6124,8.336208,-36.13761,R1
12:54:40,25/02/2014 12:54,4,322.7545,3.478472,-35.9799,R1
12:55:40,25/02/2014 12:55,11,426.3192,4.744093,-4.621474,R1
12:56:00,25/02/2014 12:56,12,405.674,4.517314,-3.968581,R1
12:56:20,25/02/2014 12:56,3,773.09,8.331591,-36.02048,R1
12:56:40,25/02/2014 12:56,4,322.6139,3.477924,-35.71186,R1
12:57:40,25/02/2014 12:57,11,426.3601,4.743834,-4.771462,R1
12:58:00,25/02/2014 12:58,12,404.9513,4.509626,-3.889203,R1
12:58:20,25/02/2014 12:58,3,773.2637,8.33211,-36.17686,R1
12:58:40,25/02/2014 12:58,4,322.5054,3.476143,-35.88117,R1
12:59:40,25/02/2014 12:59,11,426.5412,4.745954,-4.749452,R1
13:00:00,25/02/2014 13:00,12,405.0352,4.510032,-4.005929,R1
13:00:20,25/02/2014 13:00,3,773.2612,8.33119,-36.2803,R1
13:00:40,25/02/2014 13:00,4,322.4626,3.475792,-35.85074,R1
13:01:40,25/02/2014 13:01,11,426.877,4.749441,-4.80157,R1
13:02:00,25/02/2014 13:02,12,405.3882,4.514153,-3.964019,R1
13:02:20,25/02/2014 13:02,3,773.7081,8.335864,-36.2965,R1
13:02:40,25/02/2014 13:02,4,322.6867,3.477969,-35.91669,R1
13:03:40,25/02/2014 13:03,11,426.5209,4.746195,-4.651344,R1
13:04:00,25/02/2014 13:04,12,404.9204,4.509475,-3.846586,R1
13:04:20,25/02/2014 13:04,3,773.2114,8.332246,-36.0961,R1
13:04:40,25/02/2014 13:04,4,322.6696,3.478053,-35.84248,R1
13:05:40,25/02/2014 13:05,11,426.602,4.746905,-4.691803,R1
13:06:00,25/02/2014 13:06,12,404.6757,4.507147,-3.75874,R1
13:36:20,25/02/2014 13:36,3,773.4154,8.33388,-36.16122,R1
13:36:40,25/02/2014 13:36,4,322.6117,3.477124,-35.92702,R1
13:37:40,25/02/2014 13:37,11,424.1227,4.718863,-4.787824,R1
13:38:00,25/02/2014 13:38,12,378.113,4.212562,-3.460335,R1
13:38:20,25/02/2014 13:38,3,773.9788,8.338357,-36.34543,R1
13:38:40,25/02/2014 13:38,4,323.1785,3.482968,-36.00001,R1
13:39:40,25/02/2014 13:39,11,423.6759,4.714338,-4.693396,R1
13:40:00,25/02/2014 13:40,12,377.5479,4.207044,-3.276217,R1
13:40:20,25/02/2014 13:40,3,773.4186,8.333462,-36.21358,R1
13:40:40,25/02/2014 13:40,4,322.5849,3.477025,-35.87434,R1
13:41:40,25/02/2014 13:41,11,424.4814,4.723176,-4.719752,R1
13:42:00,25/02/2014 13:42,12,376.674,4.196921,-3.367343,R1
13:42:20,25/02/2014 13:42,3,773.3942,8.332465,-36.29858,R1
13:42:40,25/02/2014 13:42,4,322.4831,3.475877,-35.88832,R1
13:43:40,25/02/2014 13:43,11,422.5614,4.701774,-4.727801,R1
13:44:00,25/02/2014 13:44,12,376.6158,4.196384,-3.34102,R1
13:44:20,25/02/2014 13:44,3,773.2453,8.333264,-36.02045,R1
13:44:40,25/02/2014 13:44,4,322.5671,3.476469,-35.97533,R1
13:45:40,25/02/2014 13:45,11,422.4919,4.700483,-4.83733,R1
13:46:00,25/02/2014 13:46,12,376.532,4.195007,-3.446195,R1
13:46:20,25/02/2014 13:46,3,773.6199,8.334302,-36.3673,R1
13:46:40,25/02/2014 13:46,4,322.5884,3.476669,-35.98357,R1
13:47:40,25/02/2014 13:47,11,422.2141,4.697881,-4.733856,R1
13:48:00,25/02/2014 13:48,12,376.3376,4.193827,-3.212164,R1
