TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
12:57:40,29/01/2014 12:57,3,773.3306,8.332221,-36.24755,H2
12:58:00,29/01/2014 12:58,4,322.4587,3.475317,-35.97092,H2
12:58:20,29/01/2014 12:58,15,425.4068,4.73389,-4.631995,H2
12:58:40,29/01/2014 12:58,16,403.4085,4.491127,-4.181648,H2
12:59:00,29/01/2014 12:59,3,773.206,8.332593,-36.04921,H2
12:59:20,29/01/2014 12:59,4,322.4539,3.47565,-35.86403,H2
12:59:40,29/01/2014 12:59,15,425.4922,4.734741,-4.653013,H2
13:00:00,29/01/2014 13:00,16,403.0377,4.486729,-4.241432,H2
13:00:20,29/01/2014 13:00,3,773.4167,8.333166,-36.24547,H2
13:00:40,29/01/2014 13:00,4,322.5577,3.476739,-35.87201,H2
13:01:00,29/01/2014 13:01,15,425.8924,4.73885,-4.725334,H2
13:01:20,29/01/2014 13:01,16,403.4619,4.491445,-4.242883,H2
13:01:40,29/01/2014 13:01,3,774.0731,8.341,-36.15755,H2
13:02:00,29/01/2014 13:02,4,323.1947,3.483823,-35.81199,H2
13:02:20,29/01/2014 13:02,15,425.5911,4.73577,-4.66787,H2
13:02:40,29/01/2014 13:02,16,402.8022,4.484441,-4.167355,H2
13:03:00,29/01/2014 13:03,3,773.6777,8.335484,-36.30279,H2
13:03:20,29/01/2014 13:03,4,322.6712,3.477911,-35.88654,H2
13:03:40,29/01/2014 13:03,15,425.5274,4.734997,-4.681383,H2
13:04:00,29/01/2014 13:04,16,402.5685,4.481778,-4.180892,H2
13:04:20,29/01/2014 13:04,3,773.5784,8.336621,-36.04734,H2
13:04:40,29/01/2014 13:04,4,322.7068,3.478923,-35.71206,H2
13:05:00,29/01/2014 13:05,15,425.4964,4.734512,-4.710693,H2
13:05:20,29/01/2014 13:05,16,402.4584,4.480222,-4.254162,H2
13:05:40,29/01/2014 13:05,3,773.3111,8.331119,-36.35065,H2
13:06:00,29/01/2014 13:06,4,322.4596,3.474881,-36.09415,H2
13:06:20,29/01/2014 13:06,15,425.3406,4.731905,-4.894514,H2
13:06:40,29/01/2014 13:06,16,402.1271,4.47727,-4.090384,H2
13:07:00,29/01/2014 13:07,3,773.1682,8.33081,-36.20824,H2
13:07:20,29/01/2014 13:07,4,322.368,3.474817,-35.83813,H2
13:07:40,29/01/2014 13:07,15,425.5455,4.735445,-4.629686,H2
13:08:00,29/01/2014 13:08,16,402.2249,4.47794,-4.183805,H2
13:25:40,29/01/2014 13:25,3,773.4902,8.333558,-36.29179,H2
13:26:00,29/01/2014 13:26,4,322.5945,3.476909,-35.93486,H2
13:26:20,29/01/2014 13:26,15,426.5441,4.746406,-4.661323,H2
13:26:40,29/01/2014 13:26,16,405.7109,4.516736,-4.186794,H2
13:27:00,29/01/2014 13:27,3,773.599,8.335333,-36.22203,H2
13:27:20,29/01/2014 13:27,4,322.6963,3.478557,-35.78253,H2
13:27:40,29/01/2014 13:27,15,426.3172,4.744141,-4.606904,H2
13:28:00,29/01/2014 13:28,16,404.902,4.508638,-3.986267,H2
13:28:20,29/01/2014 13:28,3,773.0613,8.33112,-36.03936,H2
13:28:40,29/01/2014 13:28,4,322.3845,3.474586,-35.95132,H2
13:29:00,29/01/2014 13:29,15,427.2369,4.753923,-4.701767,H2
13:29:20,29/01/2014 13:29,16,405.4379,4.514266,-4.061209,H2
13:29:40,29/01/2014 13:29,3,773.4333,8.332536,-36.33902,H2
13:30:00,29/01/2014 13:30,4,322.5394,3.476475,-35.89085,H2
13:30:20,29/01/2014 13:30,15,427.2046,4.753962,-4.618287,H2
13:30:40,29/01/2014 13:30,16,405.0306,4.5092,-4.17836,H2
13:31:00,29/01/2014 13:31,3,773.5385,8.33443,-36.25105,H2
13:31:20,29/01/2014 13:31,4,322.6508,3.477443,-35.95513,H2
13:31:40,29/01/2014 13:31,15,427.2287,4.753973,-4.671936,H2
13:32:00,29/01/2014 13:32,16,404.6371,4.50514,-4.107455,H2
13:32:20,29/01/2014 13:32,3,773.3926,8.332292,-36.31671,H2
13:32:40,29/01/2014 13:32,4,322.6277,3.477061,-35.99217,H2
13:33:00,29/01/2014 13:33,15,427.1794,4.75364,-4.627197,H2
13:33:20,29/01/2014 13:33,16,404.2627,4.50179,-3.926373,H2
13:33:40,29/01/2014 13:33,3,773.3651,8.333183,-36.17918,H2
13:34:00,29/01/2014 13:34,4,322.6057,3.476858,-35.98243,H2
13:34:20,29/01/2014 13:34,15,427.2136,4.753796,-4.673857,H2
13:34:40,29/01/2014 13:34,16,403.9961,4.498791,-3.933043,H2
13:35:00,29/01/2014 13:35,3,773.2332,8.330936,-36.27474,H2
13:35:20,29/01/2014 13:35,4,322.523,3.476399,-35.86271,H2
13:35:40,29/01/2014 13:35,15,427.2936,4.754753,-4.660001,H2
13:36:00,29/01/2014 13:36,16,403.9096,4.497485,-4.009057,H2
13:55:00,29/01/2014 13:55,3,773.436,8.333956,-36.17815,H2
13:55:20,29/01/2014 13:55,4,322.6177,3.477109,-35.94875,H2
13:55:40,29/01/2014 13:55,15,424.4354,4.723531,-4.537134,H2
13:56:00,29/01/2014 13:56,16,383.5914,4.273553,-3.470542,H2
13:56:20,29/01/2014 13:56,3,773.3094,8.332392,-36.20126,H2
13:56:40,29/01/2014 13:56,4,322.6002,3.477329,-35.83561,H2
13:57:00,29/01/2014 13:57,15,424.4482,4.723286,-4.618789,H2
13:57:20,29/01/2014 13:57,16,383.2214,4.269607,-3.429472,H2
13:57:40,29/01/2014 13:57,3,773.6144,8.334456,-36.34242,H2
13:58:00,29/01/2014 13:58,4,322.604,3.47701,-35.93561,H2
13:58:20,29/01/2014 13:58,15,424.2836,4.721851,-4.535161,H2
13:58:40,29/01/2014 13:58,16,382.5221,4.262568,-3.253358,H2
13:59:00,29/01/2014 13:59,3,773.3514,8.333187,-36.16166,H2
13:59:20,29/01/2014 13:59,4,322.6047,3.477519,-35.79646,H2
13:59:40,29/01/2014 13:59,15,423.6116,4.714152,-4.581586,H2
14:00:00,29/01/2014 14:00,16,382.1413,4.257729,-3.392904,H2
14:00:20,29/01/2014 14:00,3,773.3435,8.333473,-36.11865,H2
14:00:40,29/01/2014 14:00,4,322.593,3.477208,-35.84763,H2
14:01:00,29/01/2014 14:01,15,423.6189,4.713623,-4.710509,H2
14:01:20,29/01/2014 14:01,16,382.0302,4.255955,-3.518463,H2
14:01:40,29/01/2014 14:01,3,773.4752,8.334321,-36.18467,H2
14:02:00,29/01/2014 14:02,4,322.6619,3.477412,-35.9968,H2
14:02:20,29/01/2014 14:02,15,423.7173,4.714997,-4.651342,H2
14:02:40,29/01/2014 14:02,16,381.8249,4.254271,-3.377154,H2
14:03:00,29/01/2014 14:03,3,773.4974,8.334243,-36.22149,H2
14:03:20,29/01/2014 14:03,4,322.6071,3.47719,-35.89499,H2
14:03:40,29/01/2014 14:03,15,423.577,4.713741,-4.587032,H2
14:04:00,29/01/2014 14:04,16,381.5843,4.251597,-3.375431,H2
14:04:20,29/01/2014 14:04,3,773.2737,8.331959,-36.20689,H2
14:04:40,29/01/2014 14:04,4,322.5509,3.476759,-35.84623,H2
14:05:00,29/01/2014 14:05,15,423.6523,4.714294,-4.647322,H2
14:05:20,29/01/2014 14:05,16,381.5875,4.251187,-3.479771,H2
