TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
11:04:20,19/03/2014 11:04,3,773.6457,8.335269,-36.28762,H4
11:04:40,19/03/2014 11:04,4,322.6898,3.478186,-35.8659,H4
11:05:40,19/03/2014 11:05,11,422.1489,4.681275,-8.098882,H4
11:06:00,19/03/2014 11:06,12,399.2567,4.42996,-7.529901,H4
11:06:20,19/03/2014 11:06,3,773.1757,8.330954,-36.20107,H4
11:06:40,19/03/2014 11:06,4,322.3174,3.473774,-35.97623,H4
11:07:40,19/03/2014 11:07,11,422.2491,4.682906,-7.988789,H4
11:08:00,19/03/2014 11:08,12,399.4251,4.432139,-7.46009,H4
11:08:20,19/03/2014 11:08,3,773.3118,8.33267,-36.1721,H4
11:08:40,19/03/2014 11:08,4,322.5691,3.476776,-35.89582,H4
11:09:40,19/03/2014 11:09,11,423.0149,4.691443,-7.979446,H4
11:10:00,19/03/2014 11:10,12,400.3991,4.443158,-7.413163,H4
11:10:20,19/03/2014 11:10,3,773.4769,8.333971,-36.22742,H4
11:10:40,19/03/2014 11:10,4,322.6169,3.477696,-35.78393,H4
11:11:40,19/03/2014 11:11,11,423.0185,4.691398,-7.997333,H4
11:12:00,19/03/2014 11:12,12,401.0441,4.450006,-7.482199,H4
11:12:20,19/03/2014 11:12,3,773.3995,8.334047,-36.1222,H4
11:12:40,19/03/2014 11:12,4,322.6,3.477291,-35.84575,H4
11:13:40,19/03/2014 11:13,11,422.9519,4.690843,-7.958549,H4
11:14:00,19/03/2014 11:14,12,401.8,4.458361,-7.489451,H4
11:48:20,19/03/2014 11:48,3,773.5834,8.335152,-36.22366,H4
11:48:40,19/03/2014 11:48,4,322.9886,3.481251,-35.90887,H4
11:49:40,19/03/2014 11:49,11,423.7282,4.699588,-7.930165,H4
11:50:00,19/03/2014 11:50,12,400.1423,4.442311,-6.965502,H4
11:50:20,19/03/2014 11:50,3,773.4836,8.334761,-36.14452,H4
11:50:40,19/03/2014 11:50,4,322.5717,3.476993,-35.84344,H4
11:51:40,19/03/2014 11:51,11,423.5447,4.697727,-7.893219,H4
11:52:00,19/03/2014 11:52,12,399.6917,4.437324,-6.961961,H4
11:52:20,19/03/2014 11:52,3,773.1678,8.329814,-36.32316,H4
11:52:40,19/03/2014 11:52,4,322.4145,3.475221,-35.86515,H4
11:53:40,19/03/2014 11:53,11,423.6552,4.699361,-7.807178,H4
11:54:00,19/03/2014 11:54,12,399.7508,4.43818,-6.91721,H4
11:54:20,19/03/2014 11:54,3,773.3311,8.333599,-36.08869,H4
11:54:40,19/03/2014 11:54,4,322.5482,3.476928,-35.79157,H4
11:55:40,19/03/2014 11:55,11,422.6755,4.688242,-7.860285,H4
11:56:00,19/03/2014 11:56,12,398.797,4.427702,-6.892353,H4
11:56:20,19/03/2014 11:56,3,773.2085,8.332241,-36.09311,H4
11:56:40,19/03/2014 11:56,4,322.5224,3.476689,-35.78069,H4
11:57:40,19/03/2014 11:57,11,422.6827,4.687972,-7.934384,H4
11:58:00,19/03/2014 11:58,12,398.7895,4.427135,-7.000929,H4
11:58:20,19/03/2014 11:58,3,773.2829,8.332981,-36.10006,H4
11:58:40,19/03/2014 11:58,4,322.6011,3.477367,-35.82779,H4
11:59:40,19/03/2014 11:59,11,422.5804,4.686765,-7.949681,H4
12:00:00,19/03/2014 12:00,12,398.7126,4.426189,-7.021548,H4
12:12:20,19/03/2014 12:12,3,773.5731,8.334214,-36.31929,H4
12:12:40,19/03/2014 12:12,4,322.6497,3.477565,-35.91828,H4
12:13:40,19/03/2014 12:13,11,421.916,4.679286,-7.97285,H4
12:14:00,19/03/2014 12:14,12,390.2036,4.332562,-6.830191,H4
12:14:20,19/03/2014 12:14,3,773.4991,8.334859,-36.15239,H4
12:14:40,19/03/2014 12:14,4,322.6849,3.47811,-35.87229,H4
12:15:40,19/03/2014 12:15,11,421.8307,4.678169,-8.009286,H4
12:16:00,19/03/2014 12:16,12,389.8117,4.327676,-6.953014,H4
12:16:20,19/03/2014 12:16,3,773.2017,8.330772,-36.25439,H4
12:16:40,19/03/2014 12:16,4,322.4604,3.475008,-36.06146,H4
12:17:40,19/03/2014 12:17,11,421.9129,4.67952,-7.916205,H4
12:18:00,19/03/2014 12:18,12,389.7202,4.327156,-6.839249,H4
12:18:20,19/03/2014 12:18,3,773.465,8.333197,-36.3021,H4
12:18:40,19/03/2014 12:18,4,322.5791,3.476993,-35.8657,H4
12:19:40,19/03/2014 12:19,11,421.8585,4.678758,-7.949771,H4
12:20:00,19/03/2014 12:20,12,389.5147,4.324893,-6.834822,H4
12:20:20,19/03/2014 12:20,3,773.318,8.332525,-36.1966,H4
12:20:40,19/03/2014 12:20,4,322.547,3.476494,-35.90836,H4
12:21:40,19/03/2014 12:21,11,421.8673,4.678752,-7.971565,H4
12:22:00,19/03/2014 12:22,12,389.3937,4.323488,-6.849012,H4
