TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
9:47:00,26/10/2013 09:47:00,3,773.2988,8.331285,-36.31619,H4
9:47:20,26/10/2013 09:47:20,4,322.5273,3.476046,-35.9733,H4
9:47:40,26/10/2013 09:47:40,7,403.0955,4.482111,-5.408729,H4
9:48:00,26/10/2013 09:48:00,8,370.4503,4.123435,-4.367136,H4
9:48:20,26/10/2013 09:48:20,3,773.4623,8.332443,-36.38589,H4
9:48:40,26/10/2013 09:48:40,4,322.5918,3.476207,-36.12178,H4
9:49:00,26/10/2013 09:49:00,7,402.9637,4.48105,-5.31897,H4
9:49:20,26/10/2013 09:49:20,8,369.8986,4.117987,-4.199951,H4
9:49:40,26/10/2013 09:49:40,3,773.2377,8.331594,-36.20432,H4
9:50:00,26/10/2013 09:50:00,4,322.5505,3.476553,-35.90224,H4
9:50:20,26/10/2013 09:50:20,7,402.9962,4.480974,-5.416329,H4
9:50:40,26/10/2013 09:50:40,8,369.606,4.114405,-4.278434,H4
9:51:00,26/10/2013 09:51:00,3,773.5198,8.332727,-36.42477,H4
9:51:20,26/10/2013 09:51:20,4,322.5757,3.476071,-36.11128,H4
9:51:40,26/10/2013 09:51:40,7,402.8964,4.480402,-5.296857,H4
9:52:00,26/10/2013 09:52:00,8,369.2131,4.110668,-4.124115,H4
9:52:20,26/10/2013 09:52:20,3,773.2292,8.330794,-36.28606,H4
9:52:40,26/10/2013 09:52:40,4,322.5318,3.476286,-35.9204,H4
9:53:00,26/10/2013 09:53:00,7,402.8849,4.480134,-5.327752,H4
9:53:20,26/10/2013 09:53:20,8,369.0264,4.108478,-4.151149,H4
10:12:20,26/10/2013 10:12:20,3,773.1986,8.330564,-36.2746,H4
10:12:40,26/10/2013 10:12:40,4,322.4151,3.473852,-36.24699,H4
10:13:00,26/10/2013 10:13:00,7,403.572,4.488005,-5.277021,H4
10:13:20,26/10/2013 10:13:20,8,384.5109,4.278702,-4.655801,H4
10:13:40,26/10/2013 10:13:40,3,773.0661,8.32905,-36.28465,H4
10:14:00,26/10/2013 10:14:00,4,322.4186,3.474717,-36.01706,H4
10:14:20,26/10/2013 10:14:20,7,403.7226,4.490141,-5.174773,H4
10:14:40,26/10/2013 10:14:40,8,384.5769,4.279859,-4.557558,H4
10:15:00,26/10/2013 10:15:00,3,773.1138,8.330847,-36.13618,H4
10:15:20,26/10/2013 10:15:20,4,322.3624,3.475144,-35.7305,H4
10:15:40,26/10/2013 10:15:40,7,403.7792,4.490495,-5.23575,H4
10:16:00,26/10/2013 10:16:00,8,384.4883,4.278714,-4.594499,H4
10:16:20,26/10/2013 10:16:20,3,773.1719,8.33172,-36.10771,H4
10:16:40,26/10/2013 10:16:40,4,322.5261,3.476525,-35.83688,H4
10:17:00,26/10/2013 10:17:00,7,403.693,4.490082,-5.11482,H4
10:17:20,26/10/2013 10:17:20,8,384.27,4.276655,-4.508331,H4
10:17:40,26/10/2013 10:17:40,3,773.1348,8.332911,-35.92377,H4
10:18:00,26/10/2013 10:18:00,4,322.465,3.476484,-35.6658,H4
10:18:20,26/10/2013 10:18:20,7,403.7256,4.490436,-5.116735,H4
10:18:40,26/10/2013 10:18:40,8,384.2023,4.275964,-4.493851,H4
10:19:00,26/10/2013 10:19:00,3,773.0547,8.332287,-35.89591,H4
10:19:20,26/10/2013 10:19:20,4,322.4325,3.475981,-35.70821,H4
10:19:40,26/10/2013 10:19:40,7,403.7824,4.490314,-5.2838,H4
10:20:00,26/10/2013 10:20:00,8,384.1049,4.27459,-4.560994,H4
10:32:20,26/10/2013 10:32:20,3,773.2064,8.33328,-35.97026,H4
10:32:40,26/10/2013 10:32:40,4,322.5015,3.477002,-35.63124,H4
10:33:00,26/10/2013 10:33:00,7,401.7025,4.467075,-5.307837,H4
10:33:20,26/10/2013 10:33:20,8,372.8901,4.150652,-4.353104,H4
10:33:40,26/10/2013 10:33:40,3,773.3367,8.333842,-36.06763,H4
10:34:00,26/10/2013 10:34:00,4,322.5738,3.477078,-35.82645,H4
10:34:20,26/10/2013 10:34:20,7,401.5866,4.466073,-5.244311,H4
10:34:40,26/10/2013 10:34:40,8,372.758,4.148739,-4.459095,H4
10:35:00,26/10/2013 10:35:00,3,773.1298,8.329942,-36.26089,H4
10:35:20,26/10/2013 10:35:20,4,322.5141,3.476478,-35.81438,H4
10:35:40,26/10/2013 10:35:40,7,401.6275,4.466461,-5.259101,H4
10:36:00,26/10/2013 10:36:00,8,372.7642,4.148933,-4.429372,H4
10:36:20,26/10/2013 10:36:20,3,773.5067,8.334947,-36.1516,H4
10:36:40,26/10/2013 10:36:40,4,322.5997,3.476958,-35.93694,H4
10:37:00,26/10/2013 10:37:00,7,401.5816,4.465016,-5.467218,H4
10:37:20,26/10/2013 10:37:20,8,372.5638,4.146505,-4.47661,H4
10:37:40,26/10/2013 10:37:40,3,773.3508,8.332485,-36.24222,H4
10:38:00,26/10/2013 10:38:00,4,322.6049,3.476758,-36.00776,H4
10:38:20,26/10/2013 10:38:20,7,401.6067,4.465886,-5.33557,H4
10:38:40,26/10/2013 10:38:40,8,372.4017,4.144859,-4.438646,H4
