time,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
11:03:00,10/26/2013 11:03:00,3,773.4553,8.333698,-36.2321
11:03:20,10/26/2013 11:03:20,4,322.6241,3.477602,-35.8314
11:03:40,10/26/2013 11:03:40,5,400.2932,4.451691,-5.24368
11:04:00,10/26/2013 11:04:00,6,376.3133,4.188092,-4.51085
11:04:20,10/26/2013 11:04:20,3,773.502,8.33436,-36.2137
11:04:40,10/26/2013 11:04:40,4,322.6263,3.477151,-35.9631
11:05:00,10/26/2013 11:05:00,5,400.3319,4.452253,-5.21445
11:05:20,10/26/2013 11:05:20,6,376.4114,4.18956,-4.42154
11:05:40,10/26/2013 11:05:40,3,773.3378,8.333151,-36.1489
11:06:00,10/26/2013 11:06:00,4,322.6085,3.477315,-35.8643
11:06:20,10/26/2013 11:06:20,5,400.5512,4.454437,-5.27112
11:06:40,10/26/2013 11:06:40,6,376.6424,4.191989,-4.45531
11:07:00,10/26/2013 11:07:00,3,773.5455,8.334766,-36.2211
11:07:20,10/26/2013 11:07:20,4,322.6342,3.477707,-35.8325
11:07:40,10/26/2013 11:07:40,5,400.5946,4.454627,-5.33668
11:08:00,10/26/2013 11:08:00,6,376.7554,4.193135,-4.48152
11:08:20,10/26/2013 11:08:20,3,773.3915,8.332844,-36.2515
11:08:40,10/26/2013 11:08:40,4,322.6611,3.477578,-35.9484
11:09:00,10/26/2013 11:09:00,5,400.55,4.454262,-5.30727
11:09:20,10/26/2013 11:09:20,6,376.7811,4.193351,-4.49838
11:09:40,10/26/2013 11:09:40,3,773.5801,8.335201,-36.2138
11:10:00,10/26/2013 11:10:00,4,322.617,3.47745,-35.8524
11:10:20,10/26/2013 11:10:20,5,400.6276,4.454725,-5.39652
11:10:40,10/26/2013 11:10:40,6,376.8109,4.193672,-4.50064
11:31:00,10/26/2013 11:31:00,3,773.3938,8.333109,-36.2235
11:31:20,10/26/2013 11:31:20,4,322.6174,3.477088,-35.9539
11:31:40,10/26/2013 11:31:40,5,400.2027,4.45028,-5.33418
11:32:00,10/26/2013 11:32:00,6,365.1127,4.065064,-4.11218
11:32:20,10/26/2013 11:32:20,3,773.113,8.330449,-36.1813
11:32:40,10/26/2013 11:32:40,4,322.5288,3.476528,-35.8443
11:33:00,10/26/2013 11:33:00,5,400.2492,4.451292,-5.22328
11:33:20,10/26/2013 11:33:20,6,364.6688,4.059823,-4.18548
11:33:40,10/26/2013 11:33:40,3,773.4627,8.334373,-36.1632
11:34:00,10/26/2013 11:34:00,4,322.6723,3.477544,-35.9915
11:34:20,10/26/2013 11:34:20,5,400.245,4.451557,-5.15368
11:34:40,10/26/2013 11:34:40,6,364.4177,4.057436,-4.08536
11:35:00,10/26/2013 11:35:00,3,773.415,8.332961,-36.2671
11:35:20,10/26/2013 11:35:20,4,322.528,3.476899,-35.739
11:35:40,10/26/2013 11:35:40,5,400.2397,4.451188,-5.22318
11:36:00,10/26/2013 11:36:00,6,364.3697,4.056931,-4.07819
11:36:20,10/26/2013 11:36:20,3,773.3438,8.333799,-36.0814
11:36:40,10/26/2013 11:36:40,4,322.6309,3.477751,-35.8106
11:37:00,10/26/2013 11:37:00,5,400.1762,4.45085,-5.14065
11:37:20,10/26/2013 11:37:20,6,364.4549,4.057599,-4.1471
11:55:00,10/26/2013 11:55:00,3,773.0699,8.331427,-36.0145
11:55:20,10/26/2013 11:55:20,4,322.4917,3.476158,-35.8361
11:55:40,10/26/2013 11:55:40,5,400.2924,4.451652,-5.25034
11:56:00,10/26/2013 11:56:00,6,380.9943,4.238526,-4.90112
11:56:20,10/26/2013 11:56:20,3,773.5139,8.334066,-36.2625
11:56:40,10/26/2013 11:56:40,4,322.5987,3.477442,-35.8
11:57:00,10/26/2013 11:57:00,5,400.808,4.457266,-5.27726
11:57:20,10/26/2013 11:57:20,6,381.0105,4.23907,-4.81553
11:57:40,10/26/2013 11:57:40,3,773.3347,8.332247,-36.2497
11:58:00,10/26/2013 11:58:00,4,322.5857,3.476843,-35.927
11:58:20,10/26/2013 11:58:20,5,400.8857,4.457789,-5.35329
11:58:40,10/26/2013 11:58:40,6,380.5525,4.233804,-4.85558
11:59:00,10/26/2013 11:59:00,3,773.5018,8.334563,-36.19
11:59:20,10/26/2013 11:59:20,4,322.6394,3.477579,-35.8834
11:59:40,10/26/2013 11:59:40,5,400.856,4.457842,-5.26773
12:00:00,10/26/2013 12:00:00,6,380.1713,4.229857,-4.78645
12:00:20,10/26/2013 12:00:20,3,773.2562,8.332612,-36.1097
12:00:40,10/26/2013 12:00:40,4,322.609,3.477368,-35.8513
12:01:00,10/26/2013 12:01:00,5,400.9888,4.459291,-5.27411
12:01:20,10/26/2013 12:01:20,6,379.9977,4.227851,-4.80383
