Time,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
11:20:20,10/24/2013 11:20:20,3,773.1863,8.331897,-36.10508
11:20:40,10/24/2013 11:20:40,4,322.5954,3.476634,-36.01399
11:21:00,10/24/2013 11:21:00,15,400.2168,4.439956,-7.676485
11:21:20,10/24/2013 11:21:20,16,379.1087,4.208867,-6.949473
11:21:40,10/24/2013 11:21:40,3,773.4765,8.332959,-36.34401
11:22:00,10/24/2013 11:22:00,4,322.6059,3.477744,-35.73774
11:22:20,10/24/2013 11:22:20,15,400.2996,4.440983,-7.652167
11:22:40,10/24/2013 11:22:40,16,379.1145,4.208282,-7.102675
11:23:00,10/24/2013 11:23:00,3,773.3864,8.333715,-36.14424
11:23:20,10/24/2013 11:23:20,4,322.6178,3.477146,-35.93886
11:23:40,10/24/2013 11:23:40,15,400.4621,4.441897,-7.850819
11:24:00,10/24/2013 11:24:00,16,379.1717,4.208847,-7.11912
11:24:20,10/24/2013 11:24:20,3,773.576,8.332492,-36.52184
11:24:40,10/24/2013 11:24:40,4,322.6341,3.476955,-36.04055
11:25:00,10/24/2013 11:25:00,15,400.5389,4.443543,-7.67338
11:25:20,10/24/2013 11:25:20,16,379.1898,4.209466,-7.020399
11:25:40,10/24/2013 11:25:40,3,773.4996,8.334375,-36.20874
11:26:00,10/24/2013 11:26:00,4,322.5656,3.476603,-35.93372
11:26:20,10/24/2013 11:26:20,15,400.6867,4.44515,-7.68065
11:26:40,10/24/2013 11:26:40,16,379.2625,4.210041,-7.075227
11:27:00,10/24/2013 11:27:00,3,773.3998,8.333356,-36.20237
11:27:20,10/24/2013 11:27:20,4,322.7773,3.478715,-35.98045
11:27:40,10/24/2013 11:27:40,15,400.5841,4.444264,-7.624474
11:28:00,10/24/2013 11:28:00,16,379.1127,4.208724,-6.993574
11:43:00,10/24/2013 11:43:00,3,773.4009,8.334005,-36.12874
11:43:20,10/24/2013 11:43:20,4,322.6165,3.477802,-35.7532
11:43:40,10/24/2013 11:43:40,15,399.5462,4.432342,-7.715596
11:44:00,10/24/2013 11:44:00,16,366.2999,4.06772,-6.691513
11:44:20,10/24/2013 11:44:20,3,773.2502,8.333379,-36.01335
11:44:40,10/24/2013 11:44:40,4,322.5903,3.47717,-35.85029
11:45:00,10/24/2013 11:45:00,15,399.483,4.432329,-7.561543
11:45:20,10/24/2013 11:45:20,16,365.9311,4.063811,-6.646011
11:45:40,10/24/2013 11:45:40,3,773.3,8.33346,-36.06623
11:46:00,10/24/2013 11:46:00,4,322.5353,3.477751,-35.52476
11:46:20,10/24/2013 11:46:20,15,399.5749,4.433037,-7.631368
11:46:40,10/24/2013 11:46:40,16,365.7755,4.061601,-6.763641
11:47:00,10/24/2013 11:47:00,3,773.3074,8.333186,-36.10698
11:47:20,10/24/2013 11:47:20,4,322.575,3.476569,-35.97093
11:47:40,10/24/2013 11:47:40,15,399.667,4.433546,-7.746047
11:48:00,10/24/2013 11:48:00,16,365.5432,4.058862,-6.802863
11:48:20,10/24/2013 11:48:20,3,773.4048,8.333133,-36.23448
11:48:40,10/24/2013 11:48:40,4,322.774,3.478228,-36.1059
11:49:00,10/24/2013 11:49:00,15,399.7934,4.435423,-7.639706
11:49:20,10/24/2013 11:49:20,16,365.2152,4.055948,-6.624385
12:08:20,10/24/2013 12:08:20,3,773.3153,8.33239,-36.20895
12:08:40,10/24/2013 12:08:40,4,322.5746,3.476686,-35.93749
12:09:00,10/24/2013 12:09:00,15,400.3878,4.4419,-7.666075
12:09:20,10/24/2013 12:09:20,16,370.7366,4.115671,-7.009302
12:09:40,10/24/2013 12:09:40,3,773.4774,8.333645,-36.26583
12:10:00,10/24/2013 12:10:00,4,322.6161,3.477342,-35.87956
12:10:20,10/24/2013 12:10:20,15,400.354,4.441866,-7.589841
12:10:40,10/24/2013 12:10:40,16,369.9904,4.107565,-6.966448
12:11:00,10/24/2013 12:11:00,3,773.3752,8.333839,-36.11593
12:11:20,10/24/2013 12:11:20,4,322.6455,3.477611,-35.8928
12:11:40,10/24/2013 12:11:40,15,400.2957,4.440847,-7.672871
12:12:00,10/24/2013 12:12:00,16,369.2336,4.09875,-7.06645
12:12:20,10/24/2013 12:12:20,3,773.3812,8.333307,-36.18484
12:12:40,10/24/2013 12:12:40,4,322.5898,3.476997,-35.89679
12:13:00,10/24/2013 12:13:00,15,400.3167,4.440923,-7.708211
12:13:20,10/24/2013 12:13:20,16,368.5645,4.091731,-6.967711
12:13:40,10/24/2013 12:13:40,3,773.2863,8.3321,-36.20633
12:14:00,10/24/2013 12:14:00,4,322.627,3.477134,-35.9696
12:14:20,10/24/2013 12:14:20,15,400.3093,4.441132,-7.643126
12:14:40,10/24/2013 12:14:40,16,368.0418,4.086077,-6.931296
